"Notes","County of Residence","County of Residence Code","Year","Year Code","Infant Birth Weight 12","Infant Birth Weight 12 Code",Births
,"Boone County, MO","29019","2016","2016","500 - 999 grams","02",12
,"Boone County, MO","29019","2016","2016","1500 - 1999 grams","04",24
,"Boone County, MO","29019","2016","2016","2000 - 2499 grams","05",95
,"Boone County, MO","29019","2016","2016","2500 - 2999 grams","06",311
,"Boone County, MO","29019","2016","2016","3000 - 3499 grams","07",697
,"Boone County, MO","29019","2016","2016","3500 - 3999 grams","08",552
,"Boone County, MO","29019","2016","2016","4000 - 4499 grams","09",160
,"Boone County, MO","29019","2016","2016","4500 - 4999 grams","10",23
,"Boone County, MO","29019","2017","2017","500 - 999 grams","02",12
,"Boone County, MO","29019","2017","2017","1000 - 1499 grams","03",16
,"Boone County, MO","29019","2017","2017","1500 - 1999 grams","04",39
,"Boone County, MO","29019","2017","2017","2000 - 2499 grams","05",97
,"Boone County, MO","29019","2017","2017","2500 - 2999 grams","06",288
,"Boone County, MO","29019","2017","2017","3000 - 3499 grams","07",706
,"Boone County, MO","29019","2017","2017","3500 - 3999 grams","08",546
,"Boone County, MO","29019","2017","2017","4000 - 4499 grams","09",138
,"Boone County, MO","29019","2017","2017","4500 - 4999 grams","10",13
,"Boone County, MO","29019","2018","2018","500 - 999 grams","02",13
,"Boone County, MO","29019","2018","2018","1500 - 1999 grams","04",31
,"Boone County, MO","29019","2018","2018","2000 - 2499 grams","05",101
,"Boone County, MO","29019","2018","2018","2500 - 2999 grams","06",333
,"Boone County, MO","29019","2018","2018","3000 - 3499 grams","07",707
,"Boone County, MO","29019","2018","2018","3500 - 3999 grams","08",500
,"Boone County, MO","29019","2018","2018","4000 - 4499 grams","09",106
,"Boone County, MO","29019","2018","2018","4500 - 4999 grams","10",17
,"Boone County, MO","29019","2019","2019","1000 - 1499 grams","03",13
,"Boone County, MO","29019","2019","2019","1500 - 1999 grams","04",31
,"Boone County, MO","29019","2019","2019","2000 - 2499 grams","05",121
,"Boone County, MO","29019","2019","2019","2500 - 2999 grams","06",332
,"Boone County, MO","29019","2019","2019","3000 - 3499 grams","07",762
,"Boone County, MO","29019","2019","2019","3500 - 3999 grams","08",489
,"Boone County, MO","29019","2019","2019","4000 - 4499 grams","09",133
,"Boone County, MO","29019","2020","2020","500 - 999 grams","02",10
,"Boone County, MO","29019","2020","2020","1500 - 1999 grams","04",26
,"Boone County, MO","29019","2020","2020","2000 - 2499 grams","05",82
,"Boone County, MO","29019","2020","2020","2500 - 2999 grams","06",333
,"Boone County, MO","29019","2020","2020","3000 - 3499 grams","07",724
,"Boone County, MO","29019","2020","2020","3500 - 3999 grams","08",499
,"Boone County, MO","29019","2020","2020","4000 - 4499 grams","09",133
,"Boone County, MO","29019","2020","2020","4500 - 4999 grams","10",19
,"Boone County, MO","29019","2021","2021","1000 - 1499 grams","03",12
,"Boone County, MO","29019","2021","2021","1500 - 1999 grams","04",28
,"Boone County, MO","29019","2021","2021","2000 - 2499 grams","05",97
,"Boone County, MO","29019","2021","2021","2500 - 2999 grams","06",300
,"Boone County, MO","29019","2021","2021","3000 - 3499 grams","07",682
,"Boone County, MO","29019","2021","2021","3500 - 3999 grams","08",481
,"Boone County, MO","29019","2021","2021","4000 - 4499 grams","09",127
,"Boone County, MO","29019","2021","2021","4500 - 4999 grams","10",15
,"Boone County, MO","29019","2022","2022","500 - 999 grams","02",11
,"Boone County, MO","29019","2022","2022","1000 - 1499 grams","03",16
,"Boone County, MO","29019","2022","2022","1500 - 1999 grams","04",37
,"Boone County, MO","29019","2022","2022","2000 - 2499 grams","05",104
,"Boone County, MO","29019","2022","2022","2500 - 2999 grams","06",325
,"Boone County, MO","29019","2022","2022","3000 - 3499 grams","07",697
,"Boone County, MO","29019","2022","2022","3500 - 3999 grams","08",519
,"Boone County, MO","29019","2022","2022","4000 - 4499 grams","09",114
,"Boone County, MO","29019","2022","2022","4500 - 4999 grams","10",17
