"Notes","County of Residence","County of Residence Code","Year","Year Code","OE Gestational Age Recode 11","OE Gestational Age Recode 11 Code",Births
,"Boone County, MO","29019","2016","2016","20-27 weeks","02",10
,"Boone County, MO","29019","2016","2016","32-33 weeks","04",19
,"Boone County, MO","29019","2016","2016","34-36 weeks","05",122
,"Boone County, MO","29019","2016","2016","37-38 weeks","06",431
,"Boone County, MO","29019","2016","2016","39 weeks","07",703
,"Boone County, MO","29019","2016","2016","40 weeks","08",425
,"Boone County, MO","29019","2016","2016","41 weeks","09",153
,"Boone County, MO","29019","2016","2016","42 weeks or more","10",12
,"Boone County, MO","29019","2017","2017","20-27 weeks","02",13
,"Boone County, MO","29019","2017","2017","28-31 weeks","03",18
,"Boone County, MO","29019","2017","2017","32-33 weeks","04",25
,"Boone County, MO","29019","2017","2017","34-36 weeks","05",141
,"Boone County, MO","29019","2017","2017","37-38 weeks","06",418
,"Boone County, MO","29019","2017","2017","39 weeks","07",678
,"Boone County, MO","29019","2017","2017","40 weeks","08",421
,"Boone County, MO","29019","2017","2017","41 weeks","09",139
,"Boone County, MO","29019","2018","2018","20-27 weeks","02",10
,"Boone County, MO","29019","2018","2018","28-31 weeks","03",11
,"Boone County, MO","29019","2018","2018","32-33 weeks","04",18
,"Boone County, MO","29019","2018","2018","34-36 weeks","05",145
,"Boone County, MO","29019","2018","2018","37-38 weeks","06",502
,"Boone County, MO","29019","2018","2018","39 weeks","07",663
,"Boone County, MO","29019","2018","2018","40 weeks","08",355
,"Boone County, MO","29019","2018","2018","41 weeks","09",113
,"Boone County, MO","29019","2019","2019","28-31 weeks","03",11
,"Boone County, MO","29019","2019","2019","32-33 weeks","04",28
,"Boone County, MO","29019","2019","2019","34-36 weeks","05",158
,"Boone County, MO","29019","2019","2019","37-38 weeks","06",526
,"Boone County, MO","29019","2019","2019","39 weeks","07",747
,"Boone County, MO","29019","2019","2019","40 weeks","08",338
,"Boone County, MO","29019","2019","2019","41 weeks","09",75
,"Boone County, MO","29019","2020","2020","20-27 weeks","02",13
,"Boone County, MO","29019","2020","2020","28-31 weeks","03",11
,"Boone County, MO","29019","2020","2020","32-33 weeks","04",16
,"Boone County, MO","29019","2020","2020","34-36 weeks","05",132
,"Boone County, MO","29019","2020","2020","37-38 weeks","06",511
,"Boone County, MO","29019","2020","2020","39 weeks","07",790
