"Notes","County of Residence","County of Residence Code","Year","Year Code","Gestational Diabetes","Gestational Diabetes Code",Births
,"Boone County, MO","29019","2016","2016","Yes","1",147
,"Boone County, MO","29019","2016","2016","No","2",1737
"Total","Boone County, MO","29019","2016","2016",,,1884
,"Boone County, MO","29019","2017","2017","Yes","1",145
,"Boone County, MO","29019","2017","2017","No","2",1714
"Total","Boone County, MO","29019","2017","2017",,,1859
,"Boone County, MO","29019","2018","2018","Yes","1",208
,"Boone County, MO","29019","2018","2018","No","2",1613
"Total","Boone County, MO","29019","2018","2018",,,1821
,"Boone County, MO","29019","2019","2019","Yes","1",203
,"Boone County, MO","29019","2019","2019","No","2",1693
"Total","Boone County, MO","29019","2019","2019",,,1896
,"Boone County, MO","29019","2020","2020","Yes","1",212
,"Boone County, MO","29019","2020","2020","No","2",1625
"Total","Boone County, MO","29019","2020","2020",,,1837
,"Boone County, MO","29019","2021","2021","Yes","1",191
,"Boone County, MO","29019","2021","2021","No","2",1566
"Total","Boone County, MO","29019","2021","2021",,,1757
,"Boone County, MO","29019","2022","2022","Yes","1",218
,"Boone County, MO","29019","2022","2022","No","2",1627
"Total","Boone County, MO","29019","2022","2022",,,1845
,"Boone County, MO","29019","2023","2023","Yes","1",222
,"Boone County, MO","29019","2023","2023","No","2",1536
"Total","Boone County, MO","29019","2023","2023",,,1758
,"Boone County, MO","29019","2024","2024","Yes","1",201
,"Boone County, MO","29019","2024","2024","No","2",1630
"Total","Boone County, MO","29019","2024","2024",,,1831
"Total","Boone County, MO","29019",,,,,16488
,"Clay County, MO","29047","2016","2016","Yes","1",169
,"Clay County, MO","29047","2016","2016","No","2",2557
"Total","Clay County, MO","29047","2016","2016",,,2726
,"Clay County, MO","29047","2017","2017","Yes","1",181
,"Clay County, MO","29047","2017","2017","No","2",2634
"Total","Clay County, MO","29047","2017","2017",,,2815
,"Clay County, MO","29047","2018","2018","Yes","1",196
,"Clay County, MO","29047","2018","2018","No","2",2705
"Total","Clay County, MO","29047","2018","2018",,,2901
,"Clay County, MO","29047","2019","2019","Yes","1",209
,"Clay County, MO","29047","2019","2019","No","2",2709
"Total","Clay County, MO","29047","2019","2019",,,2918
,"Clay County, MO","29047","2020","2020","Yes","1",228
,"Clay County, MO","29047","2020","2020","No","2",2563
"Total","Clay County, MO","29047","2020","2020",,,2791
,"Clay County, MO","29047","2021","2021","Yes","1",254
,"Clay County, MO","29047","2021","2021","No","2",2372
"Total","Clay County, MO","29047","2021","2021",,,2626
,"Clay County, MO","29047","2022","2022","Yes","1",267
,"Clay County, MO","29047","2022","2022","No","2",2473
"Total","Clay County, MO","29047","2022","2022",,,2740
,"Clay County, MO","29047","2023","2023","Yes","1",271
,"Clay County, MO","29047","2023","2023","No","2",2406
"Total","Clay County, MO","29047","2023","2023",,,2677
,"Clay County, MO","29047","2024","2024","Yes","1",318
,"Clay County, MO","29047","2024","2024","No","2",2495
"Total","Clay County, MO","29047","2024","2024",,,2813
"Total","Clay County, MO","29047",,,,,25007
,"Franklin County, MO","29071","2016","2016","Yes","1",66
,"Franklin County, MO","29071","2016","2016","No","2",1073
"Total","Franklin County, MO","29071","2016","2016",,,1139
,"Franklin County, MO","29071","2017","2017","Yes","1",87
,"Franklin County, MO","29071","2017","2017","No","2",1055
"Total","Franklin County, MO","29071","2017","2017",,,1142
,"Franklin County, MO","29071","2018","2018","Yes","1",84
,"Franklin County, MO","29071","2018","2018","No","2",990
"Total","Franklin County, MO","29071","2018","2018",,,1074
,"Franklin County, MO","29071","2019","2019","Yes","1",90
,"Franklin County, MO","29071","2019","2019","No","2",1032
"Total","Franklin County, MO","29071","2019","2019",,,1122
,"Franklin County, MO","29071","2020","2020","Yes","1",86
,"Franklin County, MO","29071","2020","2020","No","2",915
"Total","Franklin County, MO","29071","2020","2020",,,1001
,"Franklin County, MO","29071","2021","2021","Yes","1",93
,"Franklin County, MO","29071","2021","2021","No","2",914
"Total","Franklin County, MO","29071","2021","2021",,,1007
,"Franklin County, MO","29071","2022","2022","Yes","1",82
,"Franklin County, MO","29071","2022","2022","No","2",945
"Total","Franklin County, MO","29071","2022","2022",,,1027
,"Franklin County, MO","29071","2023","2023","Yes","1",73
,"Franklin County, MO","29071","2023","2023","No","2",969
"Total","Franklin County, MO","29071","2023","2023",,,1042
,"Franklin County, MO","29071","2024","2024","Yes","1",110
,"Franklin County, MO","29071","2024","2024","No","2",1000
"Total","Franklin County, MO","29071","2024","2024",,,1110
"Total","Franklin County, MO","29071",,,,,9664
,"Greene County, MO","29077","2016","2016","Yes","1",235
,"Greene County, MO","29077","2016","2016","No","2",2466
"Total","Greene County, MO","29077","2016","2016",,,2701
,"Greene County, MO","29077","2017","2017","Yes","1",266
,"Greene County, MO","29077","2017","2017","No","2",2575
"Total","Greene County, MO","29077","2017","2017",,,2841
,"Greene County, MO","29077","2018","2018","Yes","1",282
,"Greene County, MO","29077","2018","2018","No","2",2826
"Total","Greene County, MO","29077","2018","2018",,,3108
,"Greene County, MO","29077","2019","2019","Yes","1",269
,"Greene County, MO","29077","2019","2019","No","2",2854
"Total","Greene County, MO","29077","2019","2019",,,3123
,"Greene County, MO","29077","2020","2020","Yes","1",304
,"Greene County, MO","29077","2020","2020","No","2",2711
"Total","Greene County, MO","29077","2020","2020",,,3015
,"Greene County, MO","29077","2021","2021","Yes","1",295
,"Greene County, MO","29077","2021","2021","No","2",2769
"Total","Greene County, MO","29077","2021","2021",,,3064
,"Greene County, MO","29077","2022","2022","Yes","1",268
,"Greene County, MO","29077","2022","2022","No","2",2668
"Total","Greene County, MO","29077","2022","2022",,,2936
,"Greene County, MO","29077","2023","2023","Yes","1",320
,"Greene County, MO","29077","2023","2023","No","2",2680
"Total","Greene County, MO","29077","2023","2023",,,3000
,"Greene County, MO","29077","2024","2024","Yes","1",302
,"Greene County, MO","29077","2024","2024","No","2",2902
"Total","Greene County, MO","29077","2024","2024",,,3204
"Total","Greene County, MO","29077",,,,,26992
,"Jackson County, MO","29095","2016","2016","Yes","1",424
,"Jackson County, MO","29095","2016","2016","No","2",7643
"Total","Jackson County, MO","29095","2016","2016",,,8067
,"Jackson County, MO","29095","2017","2017","Yes","1",469
,"Jackson County, MO","29095","2017","2017","No","2",7668
"Total","Jackson County, MO","29095","2017","2017",,,8137
,"Jackson County, MO","29095","2018","2018","Yes","1",488
,"Jackson County, MO","29095","2018","2018","No","2",7667
"Total","Jackson County, MO","29095","2018","2018",,,8155
,"Jackson County, MO","29095","2019","2019","Yes","1",550
,"Jackson County, MO","29095","2019","2019","No","2",7539
"Total","Jackson County, MO","29095","2019","2019",,,8089
,"Jackson County, MO","29095","2020","2020","Yes","1",627
,"Jackson County, MO","29095","2020","2020","No","2",7254
"Total","Jackson County, MO","29095","2020","2020",,,7881
,"Jackson County, MO","29095","2021","2021","Yes","1",626
,"Jackson County, MO","29095","2021","2021","No","2",6820
"Total","Jackson County, MO","29095","2021","2021",,,7446
,"Jackson County, MO","29095","2022","2022","Yes","1",639
,"Jackson County, MO","29095","2022","2022","No","2",7296
"Total","Jackson County, MO","29095","2022","2022",,,7935
,"Jackson County, MO","29095","2023","2023","Yes","1",675
,"Jackson County, MO","29095","2023","2023","No","2",7354
"Total","Jackson County, MO","29095","2023","2023",,,8029
,"Jackson County, MO","29095","2024","2024","Yes","1",640
,"Jackson County, MO","29095","2024","2024","No","2",7558
"Total","Jackson County, MO","29095","2024","2024",,,8198
"Total","Jackson County, MO","29095",,,,,71937
,"Jasper County, MO","29097","2016","2016","Yes","1",104
,"Jasper County, MO","29097","2016","2016","No","2",1490
"Total","Jasper County, MO","29097","2016","2016",,,1594
,"Jasper County, MO","29097","2017","2017","Yes","1",103
,"Jasper County, MO","29097","2017","2017","No","2",1435
"Total","Jasper County, MO","29097","2017","2017",,,1538
,"Jasper County, MO","29097","2018","2018","Yes","1",101
,"Jasper County, MO","29097","2018","2018","No","2",1393
"Total","Jasper County, MO","29097","2018","2018",,,1494
,"Jasper County, MO","29097","2019","2019","Yes","1",119
,"Jasper County, MO","29097","2019","2019","No","2",1354
