"Notes","County of Residence","County of Residence Code","Year","Year Code","Gestational Hypertension","Gestational Hypertension Code",Births
,"Boone County, MO","29019","2016","2016","Yes","1",181
,"Boone County, MO","29019","2016","2016","No","2",1703
"Total","Boone County, MO","29019","2016","2016",,,1884
,"Boone County, MO","29019","2017","2017","Yes","1",170
,"Boone County, MO","29019","2017","2017","No","2",1689
"Total","Boone County, MO","29019","2017","2017",,,1859
,"Boone County, MO","29019","2018","2018","Yes","1",162
,"Boone County, MO","29019","2018","2018","No","2",1659
"Total","Boone County, MO","29019","2018","2018",,,1821
,"Boone County, MO","29019","2019","2019","Yes","1",188
,"Boone County, MO","29019","2019","2019","No","2",1708
"Total","Boone County, MO","29019","2019","2019",,,1896
,"Boone County, MO","29019","2020","2020","Yes","1",172
,"Boone County, MO","29019","2020","2020","No","2",1665
"Total","Boone County, MO","29019","2020","2020",,,1837
,"Boone County, MO","29019","2021","2021","Yes","1",192
,"Boone County, MO","29019","2021","2021","No","2",1565
"Total","Boone County, MO","29019","2021","2021",,,1757
,"Boone County, MO","29019","2022","2022","Yes","1",259
,"Boone County, MO","29019","2022","2022","No","2",1586
"Total","Boone County, MO","29019","2022","2022",,,1845
,"Boone County, MO","29019","2023","2023","Yes","1",224
,"Boone County, MO","29019","2023","2023","No","2",1534
"Total","Boone County, MO","29019","2023","2023",,,1758
,"Boone County, MO","29019","2024","2024","Yes","1",269
,"Boone County, MO","29019","2024","2024","No","2",1562
"Total","Boone County, MO","29019","2024","2024",,,1831
"Total","Boone County, MO","29019",,,,,16488
,"Clay County, MO","29047","2016","2016","Yes","1",187
,"Clay County, MO","29047","2016","2016","No","2",2539
"Total","Clay County, MO","29047","2016","2016",,,2726
,"Clay County, MO","29047","2017","2017","Yes","1",196
,"Clay County, MO","29047","2017","2017","No","2",2619
"Total","Clay County, MO","29047","2017","2017",,,2815
,"Clay County, MO","29047","2018","2018","Yes","1",206
,"Clay County, MO","29047","2018","2018","No","2",2695
"Total","Clay County, MO","29047","2018","2018",,,2901
,"Clay County, MO","29047","2019","2019","Yes","1",246
,"Clay County, MO","29047","2019","2019","No","2",2672
"Total","Clay County, MO","29047","2019","2019",,,2918
,"Clay County, MO","29047","2020","2020","Yes","1",256
,"Clay County, MO","29047","2020","2020","No","2",2535
"Total","Clay County, MO","29047","2020","2020",,,2791
,"Clay County, MO","29047","2021","2021","Yes","1",291
,"Clay County, MO","29047","2021","2021","No","2",2335
"Total","Clay County, MO","29047","2021","2021",,,2626
,"Clay County, MO","29047","2022","2022","Yes","1",315
,"Clay County, MO","29047","2022","2022","No","2",2425
"Total","Clay County, MO","29047","2022","2022",,,2740
,"Clay County, MO","29047","2023","2023","Yes","1",309
,"Clay County, MO","29047","2023","2023","No","2",2368
"Total","Clay County, MO","29047","2023","2023",,,2677
,"Clay County, MO","29047","2024","2024","Yes","1",337
,"Clay County, MO","29047","2024","2024","No","2",2476
"Total","Clay County, MO","29047","2024","2024",,,2813
"Total","Clay County, MO","29047",,,,,25007
,"Franklin County, MO","29071","2016","2016","Yes","1",84
,"Franklin County, MO","29071","2016","2016","No","2",1055
"Total","Franklin County, MO","29071","2016","2016",,,1139
,"Franklin County, MO","29071","2017","2017","Yes","1",74
,"Franklin County, MO","29071","2017","2017","No","2",1068
"Total","Franklin County, MO","29071","2017","2017",,,1142
,"Franklin County, MO","29071","2018","2018","Yes","1",96
,"Franklin County, MO","29071","2018","2018","No","2",978
"Total","Franklin County, MO","29071","2018","2018",,,1074
,"Franklin County, MO","29071","2019","2019","Yes","1",105
,"Franklin County, MO","29071","2019","2019","No","2",1017
"Total","Franklin County, MO","29071","2019","2019",,,1122
,"Franklin County, MO","29071","2020","2020","Yes","1",102
,"Franklin County, MO","29071","2020","2020","No","2",899
"Total","Franklin County, MO","29071","2020","2020",,,1001
,"Franklin County, MO","29071","2021","2021","Yes","1",128
,"Franklin County, MO","29071","2021","2021","No","2",879
"Total","Franklin County, MO","29071","2021","2021",,,1007
,"Franklin County, MO","29071","2022","2022","Yes","1",132
,"Franklin County, MO","29071","2022","2022","No","2",895
"Total","Franklin County, MO","29071","2022","2022",,,1027
,"Franklin County, MO","29071","2023","2023","Yes","1",126
,"Franklin County, MO","29071","2023","2023","No","2",916
"Total","Franklin County, MO","29071","2023","2023",,,1042
,"Franklin County, MO","29071","2024","2024","Yes","1",125
,"Franklin County, MO","29071","2024","2024","No","2",985
"Total","Franklin County, MO","29071","2024","2024",,,1110
"Total","Franklin County, MO","29071",,,,,9664
,"Greene County, MO","29077","2016","2016","Yes","1",167
,"Greene County, MO","29077","2016","2016","No","2",2534
"Total","Greene County, MO","29077","2016","2016",,,2701
,"Greene County, MO","29077","2017","2017","Yes","1",177
,"Greene County, MO","29077","2017","2017","No","2",2664
"Total","Greene County, MO","29077","2017","2017",,,2841
,"Greene County, MO","29077","2018","2018","Yes","1",222
,"Greene County, MO","29077","2018","2018","No","2",2886
"Total","Greene County, MO","29077","2018","2018",,,3108
,"Greene County, MO","29077","2019","2019","Yes","1",198
,"Greene County, MO","29077","2019","2019","No","2",2925
"Total","Greene County, MO","29077","2019","2019",,,3123
,"Greene County, MO","29077","2020","2020","Yes","1",220
,"Greene County, MO","29077","2020","2020","No","2",2795
"Total","Greene County, MO","29077","2020","2020",,,3015
,"Greene County, MO","29077","2021","2021","Yes","1",246
,"Greene County, MO","29077","2021","2021","No","2",2818
"Total","Greene County, MO","29077","2021","2021",,,3064
,"Greene County, MO","29077","2022","2022","Yes","1",283
,"Greene County, MO","29077","2022","2022","No","2",2653
"Total","Greene County, MO","29077","2022","2022",,,2936
,"Greene County, MO","29077","2023","2023","Yes","1",281
,"Greene County, MO","29077","2023","2023","No","2",2719
"Total","Greene County, MO","29077","2023","2023",,,3000
,"Greene County, MO","29077","2024","2024","Yes","1",352
,"Greene County, MO","29077","2024","2024","No","2",2852
"Total","Greene County, MO","29077","2024","2024",,,3204
"Total","Greene County, MO","29077",,,,,26992
,"Jackson County, MO","29095","2016","2016","Yes","1",488
,"Jackson County, MO","29095","2016","2016","No","2",7579
"Total","Jackson County, MO","29095","2016","2016",,,8067
,"Jackson County, MO","29095","2017","2017","Yes","1",572
,"Jackson County, MO","29095","2017","2017","No","2",7565
"Total","Jackson County, MO","29095","2017","2017",,,8137
,"Jackson County, MO","29095","2018","2018","Yes","1",644
,"Jackson County, MO","29095","2018","2018","No","2",7511
"Total","Jackson County, MO","29095","2018","2018",,,8155
,"Jackson County, MO","29095","2019","2019","Yes","1",670
,"Jackson County, MO","29095","2019","2019","No","2",7419
"Total","Jackson County, MO","29095","2019","2019",,,8089
,"Jackson County, MO","29095","2020","2020","Yes","1",706
,"Jackson County, MO","29095","2020","2020","No","2",7175
"Total","Jackson County, MO","29095","2020","2020",,,7881
,"Jackson County, MO","29095","2021","2021","Yes","1",760
,"Jackson County, MO","29095","2021","2021","No","2",6686
"Total","Jackson County, MO","29095","2021","2021",,,7446
,"Jackson County, MO","29095","2022","2022","Yes","1",912
,"Jackson County, MO","29095","2022","2022","No","2",7023
"Total","Jackson County, MO","29095","2022","2022",,,7935
,"Jackson County, MO","29095","2023","2023","Yes","1",939
,"Jackson County, MO","29095","2023","2023","No","2",7090
"Total","Jackson County, MO","29095","2023","2023",,,8029
,"Jackson County, MO","29095","2024","2024","Yes","1",1024
,"Jackson County, MO","29095","2024","2024","No","2",7174
"Total","Jackson County, MO","29095","2024","2024",,,8198
"Total","Jackson County, MO","29095",,,,,71937
,"Jasper County, MO","29097","2016","2016","Yes","1",119
,"Jasper County, MO","29097","2016","2016","No","2",1475
"Total","Jasper County, MO","29097","2016","2016",,,1594
,"Jasper County, MO","29097","2017","2017","Yes","1",125
,"Jasper County, MO","29097","2017","2017","No","2",1413
"Total","Jasper County, MO","29097","2017","2017",,,1538
,"Jasper County, MO","29097","2018","2018","Yes","1",118
,"Jasper County, MO","29097","2018","2018","No","2",1376
"Total","Jasper County, MO","29097","2018","2018",,,1494
,"Jasper County, MO","29097","2019","2019","Yes","1",111
,"Jasper County, MO","29097","2019","2019","No","2",1362
"Total","Jasper County, MO","29097","2019","2019",,,1473
,"Jasper County, MO","29097","2020","2020","Yes","1",99
,"Jasper County, MO","29097","2020","2020","No","2",1331
"Total","Jasper County, MO","29097","2020","2020",,,1430
,"Jasper County, MO","29097","2021","2021","Yes","1",120
,"Jasper County, MO","29097","2021","2021","No","2",1358
"Total","Jasper County, MO","29097","2021","2021",,,1478
,"Jasper County, MO","29097","2022","2022","Yes","1",114
,"Jasper County, MO","29097","2022","2022","No","2",1396
"Total","Jasper County, MO","29097","2022","2022",,,1510
,"Jasper County, MO","29097","2023","2023","Yes","1",109
,"Jasper County, MO","29097","2023","2023","No","2",1270
"Total","Jasper County, MO","29097","2023","2023",,,1379
,"Jasper County, MO","29097","2024","2024","Yes","1",123
,"Jasper County, MO","29097","2024","2024","No","2",1283
"Total","Jasper County, MO","29097","2024","2024",,,1406
"Total","Jasper County, MO","29097",,,,,13302
,"Jefferson County, MO","29099","2016","2016","Yes","1",191
,"Jefferson County, MO","29099","2016","2016","No","2",2096
"Total","Jefferson County, MO","29099","2016","2016",,,2287
,"Jefferson County, MO","29099","2017","2017","Yes","1",200
,"Jefferson County, MO","29099","2017","2017","No","2",1863
"Total","Jefferson County, MO","29099","2017","2017",,,2063
,"Jefferson County, MO","29099","2018","2018","Yes","1",202
,"Jefferson County, MO","29099","2018","2018","No","2",1922
"Total","Jefferson County, MO","29099","2018","2018",,,2124
,"Jefferson County, MO","29099","2019","2019","Yes","1",248
,"Jefferson County, MO","29099","2019","2019","No","2",1897
"Total","Jefferson County, MO","29099","2019","2019",,,2145
,"Jefferson County, MO","29099","2020","2020","Yes","1",232
,"Jefferson County, MO","29099","2020","2020","No","2",1876
"Total","Jefferson County, MO","29099","2020","2020",,,2108
,"Jefferson County, MO","29099","2021","2021","Yes","1",235
,"Jefferson County, MO","29099","2021","2021","No","2",1842
"Total","Jefferson County, MO","29099","2021","2021",,,2077
,"Jefferson County, MO","29099","2022","2022","Yes","1",284
,"Jefferson County, MO","29099","2022","2022","No","2",1747
"Total","Jefferson County, MO","29099","2022","2022",,,2031
,"Jefferson County, MO","29099","2023","2023","Yes","1",324
,"Jefferson County, MO","29099","2023","2023","No","2",1827
"Total","Jefferson County, MO","29099","2023","2023",,,2151
,"Jefferson County, MO","29099","2024","2024","Yes","1",301
,"Jefferson County, MO","29099","2024","2024","No","2",1881
"Total","Jefferson County, MO","29099","2024","2024",,,2182
"Total","Jefferson County, MO","29099",,,,,19168
,"St. Charles County, MO","29183","2016","2016","Yes","1",312
,"St. Charles County, MO","29183","2016","2016","No","2",3680
"Total","St. Charles County, MO","29183","2016","2016",,,3992
,"St. Charles County, MO","29183","2017","2017","Yes","1",357
,"St. Charles County, MO","29183","2017","2017","No","2",3561
"Total","St. Charles County, MO","29183","2017","2017",,,3918
,"St. Charles County, MO","29183","2018","2018","Yes","1",371
,"St. Charles County, MO","29183","2018","2018","No","2",3501
"Total","St. Charles County, MO","29183","2018","2018",,,3872
,"St. Charles County, MO","29183","2019","2019","Yes","1",397
,"St. Charles County, MO","29183","2019","2019","No","2",3561
"Total","St. Charles County, MO","29183","2019","2019",,,3958
,"St. Charles County, MO","29183","2020","2020","Yes","1",398
