"Notes","County of Residence","County of Residence Code","Year","Year Code","Age of Mother 13","Age of Mother 13 Code",Births
,"Boone County, MO","29019","2016","2016","18 years","18",21
,"Boone County, MO","29019","2016","2016","19 years","19",34
,"Boone County, MO","29019","2016","2016","20-24 years","20-24",310
,"Boone County, MO","29019","2016","2016","25-29 years","25-29",613
,"Boone County, MO","29019","2016","2016","30-34 years","30-34",605
,"Boone County, MO","29019","2016","2016","35-39 years","35-39",243
,"Boone County, MO","29019","2016","2016","40-44 years","40-44",43
,"Boone County, MO","29019","2017","2017","17 years","17",13
,"Boone County, MO","29019","2017","2017","18 years","18",20
,"Boone County, MO","29019","2017","2017","19 years","19",28
,"Boone County, MO","29019","2017","2017","20-24 years","20-24",294
,"Boone County, MO","29019","2017","2017","25-29 years","25-29",617
,"Boone County, MO","29019","2017","2017","30-34 years","30-34",575
,"Boone County, MO","29019","2017","2017","35-39 years","35-39",264
,"Boone County, MO","29019","2017","2017","40-44 years","40-44",40
,"Boone County, MO","29019","2018","2018","17 years","17",10
,"Boone County, MO","29019","2018","2018","18 years","18",15
,"Boone County, MO","29019","2018","2018","19 years","19",28
,"Boone County, MO","29019","2018","2018","20-24 years","20-24",287
,"Boone County, MO","29019","2018","2018","25-29 years","25-29",574
,"Boone County, MO","29019","2018","2018","30-34 years","30-34",615
,"Boone County, MO","29019","2018","2018","35-39 years","35-39",235
,"Boone County, MO","29019","2018","2018","40-44 years","40-44",45
,"Boone County, MO","29019","2019","2019","17 years","17",13
,"Boone County, MO","29019","2019","2019","18 years","18",21
,"Boone County, MO","29019","2019","2019","19 years","19",35
,"Boone County, MO","29019","2019","2019","20-24 years","20-24",276
,"Boone County, MO","29019","2019","2019","25-29 years","25-29",607
,"Boone County, MO","29019","2019","2019","30-34 years","30-34",630
,"Boone County, MO","29019","2019","2019","35-39 years","35-39",252
,"Boone County, MO","29019","2019","2019","40-44 years","40-44",47
,"Boone County, MO","29019","2020","2020","17 years","17",10
,"Boone County, MO","29019","2020","2020","18 years","18",12
,"Boone County, MO","29019","2020","2020","19 years","19",19
,"Boone County, MO","29019","2020","2020","20-24 years","20-24",296
,"Boone County, MO","29019","2020","2020","25-29 years","25-29",577
,"Boone County, MO","29019","2020","2020","30-34 years","30-34",594
,"Boone County, MO","29019","2020","2020","35-39 years","35-39",280
,"Boone County, MO","29019","2020","2020","40-44 years","40-44",39
,"Boone County, MO","29019","2021","2021","19 years","19",30
,"Boone County, MO","29019","2021","2021","20-24 years","20-24",244
,"Boone County, MO","29019","2021","2021","25-29 years","25-29",545
,"Boone County, MO","29019","2021","2021","30-34 years","30-34",624
,"Boone County, MO","29019","2021","2021","35-39 years","35-39",253
,"Boone County, MO","29019","2021","2021","40-44 years","40-44",43
,"Boone County, MO","29019","2022","2022","18 years","18",20
,"Boone County, MO","29019","2022","2022","19 years","19",24
,"Boone County, MO","29019","2022","2022","20-24 years","20-24",269
,"Boone County, MO","29019","2022","2022","25-29 years","25-29",629
,"Boone County, MO","29019","2022","2022","30-34 years","30-34",570
,"Boone County, MO","29019","2022","2022","35-39 years","35-39",267
,"Boone County, MO","29019","2022","2022","40-44 years","40-44",50
,"Boone County, MO","29019","2023","2023","17 years","17",11
,"Boone County, MO","29019","2023","2023","18 years","18",17
,"Boone County, MO","29019","2023","2023","19 years","19",34
,"Boone County, MO","29019","2023","2023","20-24 years","20-24",276
,"Boone County, MO","29019","2023","2023","25-29 years","25-29",524
,"Boone County, MO","29019","2023","2023","30-34 years","30-34",529
,"Boone County, MO","29019","2023","2023","35-39 years","35-39",302
,"Boone County, MO","29019","2023","2023","40-44 years","40-44",59
,"Boone County, MO","29019","2024","2024","18 years","18",15
,"Boone County, MO","29019","2024","2024","19 years","19",12
,"Boone County, MO","29019","2024","2024","20-24 years","20-24",279
,"Boone County, MO","29019","2024","2024","25-29 years","25-29",570
,"Boone County, MO","29019","2024","2024","30-34 years","30-34",567
,"Boone County, MO","29019","2024","2024","35-39 years","35-39",309
,"Boone County, MO","29019","2024","2024","40-44 years","40-44",60
,"Clay County, MO","29047","2016","2016","17 years","17",10
,"Clay County, MO","29047","2016","2016","18 years","18",33
,"Clay County, MO","29047","2016","2016","19 years","19",57
,"Clay County, MO","29047","2016","2016","20-24 years","20-24",495
,"Clay County, MO","29047","2016","2016","25-29 years","25-29",896
,"Clay County, MO","29047","2016","2016","30-34 years","30-34",823
,"Clay County, MO","29047","2016","2016","35-39 years","35-39",334
,"Clay County, MO","29047","2016","2016","40-44 years","40-44",63
,"Clay County, MO","29047","2017","2017","17 years","17",21
,"Clay County, MO","29047","2017","2017","18 years","18",32
,"Clay County, MO","29047","2017","2017","19 years","19",62
,"Clay County, MO","29047","2017","2017","20-24 years","20-24",524
,"Clay County, MO","29047","2017","2017","25-29 years","25-29",914
