"Notes","County of Residence","County of Residence Code","Year","Year Code","Mother's Education","Mother's Education Code",Births
,"Boone County, MO","29019","2016","2016","8th grade or less","1",12
,"Boone County, MO","29019","2016","2016","9th through 12th grade with no diploma","2",109
,"Boone County, MO","29019","2016","2016","High school graduate or GED completed","3",353
,"Boone County, MO","29019","2016","2016","Some college credit, but not a degree","4",292
,"Boone County, MO","29019","2016","2016","Associate degree (AA, AS)","5",143
,"Boone County, MO","29019","2016","2016","Bachelor's degree (BA, AB, BS)","6",547
,"Boone County, MO","29019","2016","2016","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",294
,"Boone County, MO","29019","2016","2016","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",134
,"Boone County, MO","29019","2017","2017","8th grade or less","1",13
,"Boone County, MO","29019","2017","2017","9th through 12th grade with no diploma","2",96
,"Boone County, MO","29019","2017","2017","High school graduate or GED completed","3",352
,"Boone County, MO","29019","2017","2017","Some college credit, but not a degree","4",318
,"Boone County, MO","29019","2017","2017","Associate degree (AA, AS)","5",128
,"Boone County, MO","29019","2017","2017","Bachelor's degree (BA, AB, BS)","6",532
,"Boone County, MO","29019","2017","2017","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",292
,"Boone County, MO","29019","2017","2017","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",128
,"Boone County, MO","29019","2018","2018","8th grade or less","1",20
,"Boone County, MO","29019","2018","2018","9th through 12th grade with no diploma","2",106
,"Boone County, MO","29019","2018","2018","High school graduate or GED completed","3",330
,"Boone County, MO","29019","2018","2018","Some college credit, but not a degree","4",294
,"Boone County, MO","29019","2018","2018","Associate degree (AA, AS)","5",136
,"Boone County, MO","29019","2018","2018","Bachelor's degree (BA, AB, BS)","6",515
,"Boone County, MO","29019","2018","2018","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",295
,"Boone County, MO","29019","2018","2018","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",125
,"Boone County, MO","29019","2019","2019","8th grade or less","1",13
,"Boone County, MO","29019","2019","2019","9th through 12th grade with no diploma","2",103
,"Boone County, MO","29019","2019","2019","High school graduate or GED completed","3",368
,"Boone County, MO","29019","2019","2019","Some college credit, but not a degree","4",275
,"Boone County, MO","29019","2019","2019","Associate degree (AA, AS)","5",145
,"Boone County, MO","29019","2019","2019","Bachelor's degree (BA, AB, BS)","6",555
,"Boone County, MO","29019","2019","2019","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",310
,"Boone County, MO","29019","2019","2019","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",127
,"Boone County, MO","29019","2020","2020","8th grade or less","1",17
,"Boone County, MO","29019","2020","2020","9th through 12th grade with no diploma","2",96
,"Boone County, MO","29019","2020","2020","High school graduate or GED completed","3",362
