"Notes","County of Residence","County of Residence Code","Year","Year Code","Number of Prenatal Visits Recode","Number of Prenatal Visits Recode Code",Births
,"Boone County, MO","29019","2016","2016","1 to 2 visits","2",13
,"Boone County, MO","29019","2016","2016","3 to 4 visits","3",36
,"Boone County, MO","29019","2016","2016","5 to 6 visits","4",72
,"Boone County, MO","29019","2016","2016","7 to 8 visits","5",133
,"Boone County, MO","29019","2016","2016","9 to 10 visits","6",287
,"Boone County, MO","29019","2016","2016","11 to 12 visits","7",566
,"Boone County, MO","29019","2016","2016","13 to 14 visits","8",451
,"Boone County, MO","29019","2016","2016","15 to 16 visits","9",186
,"Boone County, MO","29019","2016","2016","17 to 18 visits","10",81
,"Boone County, MO","29019","2016","2016","19 or more visits","11",52
,"Boone County, MO","29019","2017","2017","1 to 2 visits","2",15
,"Boone County, MO","29019","2017","2017","3 to 4 visits","3",34
,"Boone County, MO","29019","2017","2017","5 to 6 visits","4",68
,"Boone County, MO","29019","2017","2017","7 to 8 visits","5",158
,"Boone County, MO","29019","2017","2017","9 to 10 visits","6",337
,"Boone County, MO","29019","2017","2017","11 to 12 visits","7",569
,"Boone County, MO","29019","2017","2017","13 to 14 visits","8",423
,"Boone County, MO","29019","2017","2017","15 to 16 visits","9",172
,"Boone County, MO","29019","2017","2017","17 to 18 visits","10",41
,"Boone County, MO","29019","2017","2017","19 or more visits","11",35
,"Boone County, MO","29019","2018","2018","1 to 2 visits","2",16
,"Boone County, MO","29019","2018","2018","3 to 4 visits","3",30
,"Boone County, MO","29019","2018","2018","5 to 6 visits","4",74
,"Boone County, MO","29019","2018","2018","7 to 8 visits","5",143
,"Boone County, MO","29019","2018","2018","9 to 10 visits","6",322
,"Boone County, MO","29019","2018","2018","11 to 12 visits","7",600
,"Boone County, MO","29019","2018","2018","13 to 14 visits","8",433
,"Boone County, MO","29019","2018","2018","15 to 16 visits","9",138
,"Boone County, MO","29019","2018","2018","17 to 18 visits","10",33
,"Boone County, MO","29019","2018","2018","19 or more visits","11",26
,"Boone County, MO","29019","2019","2019","No visits","1",11
,"Boone County, MO","29019","2019","2019","1 to 2 visits","2",22
,"Boone County, MO","29019","2019","2019","3 to 4 visits","3",59
,"Boone County, MO","29019","2019","2019","5 to 6 visits","4",86
,"Boone County, MO","29019","2019","2019","7 to 8 visits","5",161
,"Boone County, MO","29019","2019","2019","9 to 10 visits","6",381
,"Boone County, MO","29019","2019","2019","11 to 12 visits","7",597
