"Notes","County of Residence","County of Residence Code","Year","Year Code","Source of Payment for Delivery","Source of Payment for Delivery Code",Births
,"Boone County, MO","29019","2016","2016","Medicaid","1",447
,"Boone County, MO","29019","2016","2016","Private Insurance","2",1371
,"Boone County, MO","29019","2016","2016","Self Pay","3",66
,"Boone County, MO","29019","2017","2017","Medicaid","1",459
,"Boone County, MO","29019","2017","2017","Private Insurance","2",1351
,"Boone County, MO","29019","2017","2017","Self Pay","3",49
,"Boone County, MO","29019","2018","2018","Medicaid","1",510
,"Boone County, MO","29019","2018","2018","Private Insurance","2",1261
,"Boone County, MO","29019","2018","2018","Self Pay","3",50
,"Boone County, MO","29019","2019","2019","Medicaid","1",554
,"Boone County, MO","29019","2019","2019","Private Insurance","2",1298
,"Boone County, MO","29019","2019","2019","Self Pay","3",44
,"Boone County, MO","29019","2020","2020","Medicaid","1",565
,"Boone County, MO","29019","2020","2020","Private Insurance","2",1213
,"Boone County, MO","29019","2020","2020","Self Pay","3",59
,"Boone County, MO","29019","2021","2021","Medicaid","1",575
,"Boone County, MO","29019","2021","2021","Private Insurance","2",1150
,"Boone County, MO","29019","2021","2021","Self Pay","3",32
,"Boone County, MO","29019","2022","2022","Medicaid","1",554
,"Boone County, MO","29019","2022","2022","Private Insurance","2",1246
,"Boone County, MO","29019","2022","2022","Self Pay","3",45
,"Boone County, MO","29019","2023","2023","Medicaid","1",636
,"Boone County, MO","29019","2023","2023","Private Insurance","2",1071
,"Boone County, MO","29019","2023","2023","Self Pay","3",51
,"Boone County, MO","29019","2024","2024","Medicaid","1",582
,"Boone County, MO","29019","2024","2024","Private Insurance","2",1176
,"Boone County, MO","29019","2024","2024","Self Pay","3",73
,"Clay County, MO","29047","2016","2016","Medicaid","1",658
,"Clay County, MO","29047","2016","2016","Private Insurance","2",2014
,"Clay County, MO","29047","2016","2016","Self Pay","3",54
,"Clay County, MO","29047","2017","2017","Medicaid","1",774
,"Clay County, MO","29047","2017","2017","Private Insurance","2",1974
,"Clay County, MO","29047","2017","2017","Self Pay","3",67
,"Clay County, MO","29047","2018","2018","Medicaid","1",794
,"Clay County, MO","29047","2018","2018","Private Insurance","2",2037
,"Clay County, MO","29047","2018","2018","Self Pay","3",70
,"Clay County, MO","29047","2019","2019","Medicaid","1",763
,"Clay County, MO","29047","2019","2019","Private Insurance","2",2080
,"Clay County, MO","29047","2019","2019","Self Pay","3",75
,"Clay County, MO","29047","2020","2020","Medicaid","1",767
,"Clay County, MO","29047","2020","2020","Private Insurance","2",1930
,"Clay County, MO","29047","2020","2020","Self Pay","3",94
,"Clay County, MO","29047","2021","2021","Medicaid","1",706
,"Clay County, MO","29047","2021","2021","Private Insurance","2",1840
,"Clay County, MO","29047","2021","2021","Self Pay","3",80
,"Clay County, MO","29047","2022","2022","Medicaid","1",712
,"Clay County, MO","29047","2022","2022","Private Insurance","2",1931
,"Clay County, MO","29047","2022","2022","Self Pay","3",97
,"Clay County, MO","29047","2023","2023","Medicaid","1",779
,"Clay County, MO","29047","2023","2023","Private Insurance","2",1799
,"Clay County, MO","29047","2023","2023","Self Pay","3",99
,"Clay County, MO","29047","2024","2024","Medicaid","1",755
,"Clay County, MO","29047","2024","2024","Private Insurance","2",1927
,"Clay County, MO","29047","2024","2024","Self Pay","3",131
,"Franklin County, MO","29071","2016","2016","Medicaid","1",350
,"Franklin County, MO","29071","2016","2016","Private Insurance","2",784
,"Franklin County, MO","29071","2017","2017","Medicaid","1",352
,"Franklin County, MO","29071","2017","2017","Private Insurance","2",774
,"Franklin County, MO","29071","2017","2017","Self Pay","3",16
,"Franklin County, MO","29071","2018","2018","Medicaid","1",342
,"Franklin County, MO","29071","2018","2018","Private Insurance","2",721
,"Franklin County, MO","29071","2018","2018","Self Pay","3",11
,"Franklin County, MO","29071","2019","2019","Medicaid","1",370
,"Franklin County, MO","29071","2019","2019","Private Insurance","2",739
,"Franklin County, MO","29071","2019","2019","Self Pay","3",13
,"Franklin County, MO","29071","2020","2020","Medicaid","1",354
,"Franklin County, MO","29071","2020","2020","Private Insurance","2",632
,"Franklin County, MO","29071","2020","2020","Self Pay","3",15
,"Franklin County, MO","29071","2021","2021","Medicaid","1",303
,"Franklin County, MO","29071","2021","2021","Private Insurance","2",685
,"Franklin County, MO","29071","2021","2021","Self Pay","3",19
,"Franklin County, MO","29071","2022","2022","Medicaid","1",316
,"Franklin County, MO","29071","2022","2022","Private Insurance","2",687
,"Franklin County, MO","29071","2022","2022","Self Pay","3",24
,"Franklin County, MO","29071","2023","2023","Medicaid","1",360
,"Franklin County, MO","29071","2023","2023","Private Insurance","2",657
,"Franklin County, MO","29071","2023","2023","Self Pay","3",25
,"Franklin County, MO","29071","2024","2024","Medicaid","1",341
,"Franklin County, MO","29071","2024","2024","Private Insurance","2",736
,"Franklin County, MO","29071","2024","2024","Self Pay","3",33
,"Greene County, MO","29077","2016","2016","Medicaid","1",1084
,"Greene County, MO","29077","2016","2016","Private Insurance","2",1490
,"Greene County, MO","29077","2016","2016","Self Pay","3",127
,"Greene County, MO","29077","2017","2017","Medicaid","1",1049
,"Greene County, MO","29077","2017","2017","Private Insurance","2",1692
,"Greene County, MO","29077","2017","2017","Self Pay","3",100
,"Greene County, MO","29077","2018","2018","Medicaid","1",1384
,"Greene County, MO","29077","2018","2018","Private Insurance","2",1612
,"Greene County, MO","29077","2018","2018","Self Pay","3",112
,"Greene County, MO","29077","2019","2019","Medicaid","1",1356
,"Greene County, MO","29077","2019","2019","Private Insurance","2",1634
,"Greene County, MO","29077","2019","2019","Self Pay","3",133
,"Greene County, MO","29077","2020","2020","Medicaid","1",1379
,"Greene County, MO","29077","2020","2020","Private Insurance","2",1519
,"Greene County, MO","29077","2020","2020","Self Pay","3",117
,"Greene County, MO","29077","2021","2021","Medicaid","1",1380
,"Greene County, MO","29077","2021","2021","Private Insurance","2",1547
,"Greene County, MO","29077","2021","2021","Self Pay","3",137
,"Greene County, MO","29077","2022","2022","Medicaid","1",1261
,"Greene County, MO","29077","2022","2022","Private Insurance","2",1524
,"Greene County, MO","29077","2022","2022","Self Pay","3",151
,"Greene County, MO","29077","2023","2023","Medicaid","1",1374
,"Greene County, MO","29077","2023","2023","Private Insurance","2",1487
,"Greene County, MO","29077","2023","2023","Self Pay","3",139
,"Greene County, MO","29077","2024","2024","Medicaid","1",1591
,"Greene County, MO","29077","2024","2024","Private Insurance","2",1445
,"Greene County, MO","29077","2024","2024","Self Pay","3",168
,"Jackson County, MO","29095","2016","2016","Medicaid","1",3594
,"Jackson County, MO","29095","2016","2016","Private Insurance","2",4174
,"Jackson County, MO","29095","2016","2016","Self Pay","3",299
,"Jackson County, MO","29095","2017","2017","Medicaid","1",3768
,"Jackson County, MO","29095","2017","2017","Private Insurance","2",4025
,"Jackson County, MO","29095","2017","2017","Self Pay","3",344
,"Jackson County, MO","29095","2018","2018","Medicaid","1",3747
,"Jackson County, MO","29095","2018","2018","Private Insurance","2",4041
,"Jackson County, MO","29095","2018","2018","Self Pay","3",367
,"Jackson County, MO","29095","2019","2019","Medicaid","1",3663
,"Jackson County, MO","29095","2019","2019","Private Insurance","2",4031
,"Jackson County, MO","29095","2019","2019","Self Pay","3",395
,"Jackson County, MO","29095","2020","2020","Medicaid","1",3644
,"Jackson County, MO","29095","2020","2020","Private Insurance","2",3904
,"Jackson County, MO","29095","2020","2020","Self Pay","3",333
,"Jackson County, MO","29095","2021","2021","Medicaid","1",3364
,"Jackson County, MO","29095","2021","2021","Private Insurance","2",3795
,"Jackson County, MO","29095","2021","2021","Self Pay","3",287
,"Jackson County, MO","29095","2022","2022","Medicaid","1",3499
,"Jackson County, MO","29095","2022","2022","Private Insurance","2",4079
,"Jackson County, MO","29095","2022","2022","Self Pay","3",357
,"Jackson County, MO","29095","2023","2023","Medicaid","1",3649
,"Jackson County, MO","29095","2023","2023","Private Insurance","2",4040
,"Jackson County, MO","29095","2023","2023","Self Pay","3",340
,"Jackson County, MO","29095","2024","2024","Medicaid","1",3628
,"Jackson County, MO","29095","2024","2024","Private Insurance","2",4152
,"Jackson County, MO","29095","2024","2024","Self Pay","3",418
,"Jasper County, MO","29097","2016","2016","Medicaid","1",823
,"Jasper County, MO","29097","2016","2016","Private Insurance","2",709
,"Jasper County, MO","29097","2016","2016","Self Pay","3",62
,"Jasper County, MO","29097","2017","2017","Medicaid","1",765
,"Jasper County, MO","29097","2017","2017","Private Insurance","2",720
,"Jasper County, MO","29097","2017","2017","Self Pay","3",53
,"Jasper County, MO","29097","2018","2018","Medicaid","1",696
,"Jasper County, MO","29097","2018","2018","Private Insurance","2",738
,"Jasper County, MO","29097","2018","2018","Self Pay","3",60
,"Jasper County, MO","29097","2019","2019","Medicaid","1",690
,"Jasper County, MO","29097","2019","2019","Private Insurance","2",716
,"Jasper County, MO","29097","2019","2019","Self Pay","3",67
,"Jasper County, MO","29097","2020","2020","Medicaid","1",714
,"Jasper County, MO","29097","2020","2020","Private Insurance","2",667
,"Jasper County, MO","29097","2020","2020","Self Pay","3",49
,"Jasper County, MO","29097","2021","2021","Medicaid","1",717
,"Jasper County, MO","29097","2021","2021","Private Insurance","2",714
,"Jasper County, MO","29097","2021","2021","Self Pay","3",47
,"Jasper County, MO","29097","2022","2022","Medicaid","1",763
,"Jasper County, MO","29097","2022","2022","Private Insurance","2",700
,"Jasper County, MO","29097","2022","2022","Self Pay","3",47
,"Jasper County, MO","29097","2023","2023","Medicaid","1",735
,"Jasper County, MO","29097","2023","2023","Private Insurance","2",606
,"Jasper County, MO","29097","2023","2023","Self Pay","3",38
,"Jasper County, MO","29097","2024","2024","Medicaid","1",745
,"Jasper County, MO","29097","2024","2024","Private Insurance","2",622
,"Jasper County, MO","29097","2024","2024","Self Pay","3",39
,"Jefferson County, MO","29099","2016","2016","Medicaid","1",663
,"Jefferson County, MO","29099","2016","2016","Private Insurance","2",1606
,"Jefferson County, MO","29099","2016","2016","Self Pay","3",18
,"Jefferson County, MO","29099","2017","2017","Medicaid","1",624
,"Jefferson County, MO","29099","2017","2017","Private Insurance","2",1417
,"Jefferson County, MO","29099","2017","2017","Self Pay","3",22
,"Jefferson County, MO","29099","2018","2018","Medicaid","1",651
,"Jefferson County, MO","29099","2018","2018","Private Insurance","2",1451
,"Jefferson County, MO","29099","2018","2018","Self Pay","3",22
,"Jefferson County, MO","29099","2019","2019","Medicaid","1",634
,"Jefferson County, MO","29099","2019","2019","Private Insurance","2",1494
,"Jefferson County, MO","29099","2019","2019","Self Pay","3",17
,"Jefferson County, MO","29099","2020","2020","Medicaid","1",626
,"Jefferson County, MO","29099","2020","2020","Private Insurance","2",1459
,"Jefferson County, MO","29099","2020","2020","Self Pay","3",23
,"Jefferson County, MO","29099","2021","2021","Medicaid","1",591
,"Jefferson County, MO","29099","2021","2021","Private Insurance","2",1455
,"Jefferson County, MO","29099","2021","2021","Self Pay","3",31
,"Jefferson County, MO","29099","2022","2022","Medicaid","1",578
,"Jefferson County, MO","29099","2022","2022","Private Insurance","2",1428
,"Jefferson County, MO","29099","2022","2022","Self Pay","3",25
,"Jefferson County, MO","29099","2023","2023","Medicaid","1",589
,"Jefferson County, MO","29099","2023","2023","Private Insurance","2",1532
,"Jefferson County, MO","29099","2023","2023","Self Pay","3",30
,"Jefferson County, MO","29099","2024","2024","Medicaid","1",578
,"Jefferson County, MO","29099","2024","2024","Private Insurance","2",1556
,"Jefferson County, MO","29099","2024","2024","Self Pay","3",48
,"St. Charles County, MO","29183","2016","2016","Medicaid","1",662
,"St. Charles County, MO","29183","2016","2016","Private Insurance","2",3304
,"St. Charles County, MO","29183","2016","2016","Self Pay","3",26
,"St. Charles County, MO","29183","2017","2017","Medicaid","1",579
,"St. Charles County, MO","29183","2017","2017","Private Insurance","2",3289
,"St. Charles County, MO","29183","2017","2017","Self Pay","3",50
,"St. Charles County, MO","29183","2018","2018","Medicaid","1",571
,"St. Charles County, MO","29183","2018","2018","Private Insurance","2",3264
,"St. Charles County, MO","29183","2018","2018","Self Pay","3",37
,"St. Charles County, MO","29183","2019","2019","Medicaid","1",604
,"St. Charles County, MO","29183","2019","2019","Private Insurance","2",3309
,"St. Charles County, MO","29183","2019","2019","Self Pay","3",45
,"St. Charles County, MO","29183","2020","2020","Medicaid","1",602
