"Notes","County of Residence","County of Residence Code","Year","Year Code","Pre-pregnancy Diabetes","Pre-pregnancy Diabetes Code",Births
,"Boone County, MO","29019","2016","2016","Yes","1",17
,"Boone County, MO","29019","2016","2016","No","2",1867
,"Boone County, MO","29019","2017","2017","Yes","1",17
,"Boone County, MO","29019","2017","2017","No","2",1842
,"Boone County, MO","29019","2018","2018","Yes","1",21
,"Boone County, MO","29019","2018","2018","No","2",1800
,"Boone County, MO","29019","2019","2019","Yes","1",20
,"Boone County, MO","29019","2019","2019","No","2",1876
,"Boone County, MO","29019","2020","2020","Yes","1",27
,"Boone County, MO","29019","2020","2020","No","2",1810
,"Boone County, MO","29019","2021","2021","Yes","1",28
,"Boone County, MO","29019","2021","2021","No","2",1729
,"Boone County, MO","29019","2022","2022","Yes","1",28
,"Boone County, MO","29019","2022","2022","No","2",1817
,"Boone County, MO","29019","2023","2023","Yes","1",23
,"Boone County, MO","29019","2023","2023","No","2",1735
,"Boone County, MO","29019","2024","2024","Yes","1",26
,"Boone County, MO","29019","2024","2024","No","2",1805
,"Clay County, MO","29047","2016","2016","Yes","1",17
,"Clay County, MO","29047","2016","2016","No","2",2709
,"Clay County, MO","29047","2017","2017","Yes","1",13
,"Clay County, MO","29047","2017","2017","No","2",2802
,"Clay County, MO","29047","2018","2018","Yes","1",27
,"Clay County, MO","29047","2018","2018","No","2",2874
,"Clay County, MO","29047","2019","2019","Yes","1",25
,"Clay County, MO","29047","2019","2019","No","2",2893
,"Clay County, MO","29047","2020","2020","Yes","1",24
,"Clay County, MO","29047","2020","2020","No","2",2767
,"Clay County, MO","29047","2021","2021","Yes","1",34
,"Clay County, MO","29047","2021","2021","No","2",2592
,"Clay County, MO","29047","2022","2022","Yes","1",29
,"Clay County, MO","29047","2022","2022","No","2",2711
,"Clay County, MO","29047","2023","2023","Yes","1",26
,"Clay County, MO","29047","2023","2023","No","2",2651
,"Clay County, MO","29047","2024","2024","Yes","1",23
,"Clay County, MO","29047","2024","2024","No","2",2790
,"Franklin County, MO","29071","2016","2016","No","2",1130
,"Franklin County, MO","29071","2017","2017","Yes","1",14
,"Franklin County, MO","29071","2017","2017","No","2",1128
,"Franklin County, MO","29071","2018","2018","Yes","1",12
,"Franklin County, MO","29071","2018","2018","No","2",1062
,"Franklin County, MO","29071","2019","2019","Yes","1",15
,"Franklin County, MO","29071","2019","2019","No","2",1107
,"Franklin County, MO","29071","2020","2020","No","2",992
,"Franklin County, MO","29071","2021","2021","Yes","1",10
,"Franklin County, MO","29071","2021","2021","No","2",997
,"Franklin County, MO","29071","2022","2022","Yes","1",14
,"Franklin County, MO","29071","2022","2022","No","2",1013
,"Franklin County, MO","29071","2023","2023","Yes","1",10
,"Franklin County, MO","29071","2023","2023","No","2",1032
,"Franklin County, MO","29071","2024","2024","Yes","1",14
,"Franklin County, MO","29071","2024","2024","No","2",1096
,"Greene County, MO","29077","2016","2016","Yes","1",16
,"Greene County, MO","29077","2016","2016","No","2",2685
,"Greene County, MO","29077","2017","2017","Yes","1",20
,"Greene County, MO","29077","2017","2017","No","2",2821
,"Greene County, MO","29077","2018","2018","Yes","1",21
,"Greene County, MO","29077","2018","2018","No","2",3087
,"Greene County, MO","29077","2019","2019","Yes","1",23
,"Greene County, MO","29077","2019","2019","No","2",3100
,"Greene County, MO","29077","2020","2020","Yes","1",24
,"Greene County, MO","29077","2020","2020","No","2",2991
,"Greene County, MO","29077","2021","2021","Yes","1",26
,"Greene County, MO","29077","2021","2021","No","2",3038
,"Greene County, MO","29077","2022","2022","Yes","1",36
,"Greene County, MO","29077","2022","2022","No","2",2900
,"Greene County, MO","29077","2023","2023","Yes","1",23
,"Greene County, MO","29077","2023","2023","No","2",2977
,"Greene County, MO","29077","2024","2024","Yes","1",29
,"Greene County, MO","29077","2024","2024","No","2",3175
,"Jackson County, MO","29095","2016","2016","Yes","1",83
,"Jackson County, MO","29095","2016","2016","No","2",7984
,"Jackson County, MO","29095","2017","2017","Yes","1",82
,"Jackson County, MO","29095","2017","2017","No","2",8055
,"Jackson County, MO","29095","2018","2018","Yes","1",59
,"Jackson County, MO","29095","2018","2018","No","2",8096
,"Jackson County, MO","29095","2019","2019","Yes","1",87
,"Jackson County, MO","29095","2019","2019","No","2",8002
,"Jackson County, MO","29095","2020","2020","Yes","1",79
,"Jackson County, MO","29095","2020","2020","No","2",7802
,"Jackson County, MO","29095","2021","2021","Yes","1",73
,"Jackson County, MO","29095","2021","2021","No","2",7373
,"Jackson County, MO","29095","2022","2022","Yes","1",108
,"Jackson County, MO","29095","2022","2022","No","2",7827
,"Jackson County, MO","29095","2023","2023","Yes","1",114
,"Jackson County, MO","29095","2023","2023","No","2",7915
,"Jackson County, MO","29095","2024","2024","Yes","1",130
,"Jackson County, MO","29095","2024","2024","No","2",8068
,"Jasper County, MO","29097","2016","2016","Yes","1",14
,"Jasper County, MO","29097","2016","2016","No","2",1580
,"Jasper County, MO","29097","2017","2017","Yes","1",20
,"Jasper County, MO","29097","2017","2017","No","2",1518
,"Jasper County, MO","29097","2018","2018","Yes","1",14
,"Jasper County, MO","29097","2018","2018","No","2",1480
,"Jasper County, MO","29097","2019","2019","No","2",1464
,"Jasper County, MO","29097","2020","2020","Yes","1",19
,"Jasper County, MO","29097","2020","2020","No","2",1411
,"Jasper County, MO","29097","2021","2021","Yes","1",22
,"Jasper County, MO","29097","2021","2021","No","2",1456
,"Jasper County, MO","29097","2022","2022","Yes","1",19
,"Jasper County, MO","29097","2022","2022","No","2",1491
,"Jasper County, MO","29097","2023","2023","Yes","1",22
,"Jasper County, MO","29097","2023","2023","No","2",1357
,"Jasper County, MO","29097","2024","2024","Yes","1",14
,"Jasper County, MO","29097","2024","2024","No","2",1392
,"Jefferson County, MO","29099","2016","2016","Yes","1",16
,"Jefferson County, MO","29099","2016","2016","No","2",2271
