"Notes","County of Residence","County of Residence Code","Year","Year Code","Pre-pregnancy Hypertension","Pre-pregnancy Hypertension Code",Births
,"Boone County, MO","29019","2016","2016","Yes","1",51
,"Boone County, MO","29019","2016","2016","No","2",1833
"Total","Boone County, MO","29019","2016","2016",,,1884
,"Boone County, MO","29019","2017","2017","Yes","1",66
,"Boone County, MO","29019","2017","2017","No","2",1793
"Total","Boone County, MO","29019","2017","2017",,,1859
,"Boone County, MO","29019","2018","2018","Yes","1",86
,"Boone County, MO","29019","2018","2018","No","2",1735
"Total","Boone County, MO","29019","2018","2018",,,1821
,"Boone County, MO","29019","2019","2019","Yes","1",99
,"Boone County, MO","29019","2019","2019","No","2",1797
"Total","Boone County, MO","29019","2019","2019",,,1896
,"Boone County, MO","29019","2020","2020","Yes","1",118
,"Boone County, MO","29019","2020","2020","No","2",1719
"Total","Boone County, MO","29019","2020","2020",,,1837
,"Boone County, MO","29019","2021","2021","Yes","1",132
,"Boone County, MO","29019","2021","2021","No","2",1625
"Total","Boone County, MO","29019","2021","2021",,,1757
,"Boone County, MO","29019","2022","2022","Yes","1",166
,"Boone County, MO","29019","2022","2022","No","2",1679
"Total","Boone County, MO","29019","2022","2022",,,1845
,"Boone County, MO","29019","2023","2023","Yes","1",152
,"Boone County, MO","29019","2023","2023","No","2",1606
"Total","Boone County, MO","29019","2023","2023",,,1758
,"Boone County, MO","29019","2024","2024","Yes","1",173
,"Boone County, MO","29019","2024","2024","No","2",1658
"Total","Boone County, MO","29019","2024","2024",,,1831
"Total","Boone County, MO","29019",,,,,16488
,"Clay County, MO","29047","2016","2016","Yes","1",52
,"Clay County, MO","29047","2016","2016","No","2",2674
"Total","Clay County, MO","29047","2016","2016",,,2726
,"Clay County, MO","29047","2017","2017","Yes","1",51
,"Clay County, MO","29047","2017","2017","No","2",2764
"Total","Clay County, MO","29047","2017","2017",,,2815
,"Clay County, MO","29047","2018","2018","Yes","1",59
,"Clay County, MO","29047","2018","2018","No","2",2842
"Total","Clay County, MO","29047","2018","2018",,,2901
,"Clay County, MO","29047","2019","2019","Yes","1",60
,"Clay County, MO","29047","2019","2019","No","2",2858
"Total","Clay County, MO","29047","2019","2019",,,2918
,"Clay County, MO","29047","2020","2020","Yes","1",74
,"Clay County, MO","29047","2020","2020","No","2",2717
"Total","Clay County, MO","29047","2020","2020",,,2791
,"Clay County, MO","29047","2021","2021","Yes","1",75
,"Clay County, MO","29047","2021","2021","No","2",2551
"Total","Clay County, MO","29047","2021","2021",,,2626
,"Clay County, MO","29047","2022","2022","Yes","1",95
,"Clay County, MO","29047","2022","2022","No","2",2645
"Total","Clay County, MO","29047","2022","2022",,,2740
,"Clay County, MO","29047","2023","2023","Yes","1",94
,"Clay County, MO","29047","2023","2023","No","2",2583
"Total","Clay County, MO","29047","2023","2023",,,2677
,"Clay County, MO","29047","2024","2024","Yes","1",94
,"Clay County, MO","29047","2024","2024","No","2",2719
"Total","Clay County, MO","29047","2024","2024",,,2813
"Total","Clay County, MO","29047",,,,,25007
,"Franklin County, MO","29071","2016","2016","Yes","1",19
,"Franklin County, MO","29071","2016","2016","No","2",1120
"Total","Franklin County, MO","29071","2016","2016",,,1139
,"Franklin County, MO","29071","2017","2017","Yes","1",28
,"Franklin County, MO","29071","2017","2017","No","2",1114
"Total","Franklin County, MO","29071","2017","2017",,,1142
,"Franklin County, MO","29071","2018","2018","Yes","1",30
,"Franklin County, MO","29071","2018","2018","No","2",1044
"Total","Franklin County, MO","29071","2018","2018",,,1074
,"Franklin County, MO","29071","2019","2019","Yes","1",51
,"Franklin County, MO","29071","2019","2019","No","2",1071
"Total","Franklin County, MO","29071","2019","2019",,,1122
,"Franklin County, MO","29071","2020","2020","Yes","1",40
,"Franklin County, MO","29071","2020","2020","No","2",961
"Total","Franklin County, MO","29071","2020","2020",,,1001
,"Franklin County, MO","29071","2021","2021","Yes","1",39
,"Franklin County, MO","29071","2021","2021","No","2",968
"Total","Franklin County, MO","29071","2021","2021",,,1007
,"Franklin County, MO","29071","2022","2022","Yes","1",42
,"Franklin County, MO","29071","2022","2022","No","2",985
"Total","Franklin County, MO","29071","2022","2022",,,1027
,"Franklin County, MO","29071","2023","2023","Yes","1",48
,"Franklin County, MO","29071","2023","2023","No","2",994
"Total","Franklin County, MO","29071","2023","2023",,,1042
,"Franklin County, MO","29071","2024","2024","Yes","1",60
,"Franklin County, MO","29071","2024","2024","No","2",1050
"Total","Franklin County, MO","29071","2024","2024",,,1110
"Total","Franklin County, MO","29071",,,,,9664
,"Greene County, MO","29077","2016","2016","Yes","1",45
,"Greene County, MO","29077","2016","2016","No","2",2656
"Total","Greene County, MO","29077","2016","2016",,,2701
,"Greene County, MO","29077","2017","2017","Yes","1",42
,"Greene County, MO","29077","2017","2017","No","2",2799
"Total","Greene County, MO","29077","2017","2017",,,2841
,"Greene County, MO","29077","2018","2018","Yes","1",43
,"Greene County, MO","29077","2018","2018","No","2",3065
"Total","Greene County, MO","29077","2018","2018",,,3108
,"Greene County, MO","29077","2019","2019","Yes","1",46
,"Greene County, MO","29077","2019","2019","No","2",3077
"Total","Greene County, MO","29077","2019","2019",,,3123
,"Greene County, MO","29077","2020","2020","Yes","1",81
,"Greene County, MO","29077","2020","2020","No","2",2934
"Total","Greene County, MO","29077","2020","2020",,,3015
,"Greene County, MO","29077","2021","2021","Yes","1",64
,"Greene County, MO","29077","2021","2021","No","2",3000
"Total","Greene County, MO","29077","2021","2021",,,3064
,"Greene County, MO","29077","2022","2022","Yes","1",60
,"Greene County, MO","29077","2022","2022","No","2",2876
