"Notes","County of Residence","County of Residence Code","Year","Year Code","Tobacco Use","Tobacco Use Code",Births
,"Boone County, MO","29019","2016","2016","Yes","1",199
,"Boone County, MO","29019","2016","2016","No","2",1685
"Total","Boone County, MO","29019","2016","2016",,,1884
,"Boone County, MO","29019","2017","2017","Yes","1",203
,"Boone County, MO","29019","2017","2017","No","2",1656
"Total","Boone County, MO","29019","2017","2017",,,1859
,"Boone County, MO","29019","2018","2018","Yes","1",174
,"Boone County, MO","29019","2018","2018","No","2",1647
"Total","Boone County, MO","29019","2018","2018",,,1821
,"Boone County, MO","29019","2019","2019","Yes","1",173
,"Boone County, MO","29019","2019","2019","No","2",1723
"Total","Boone County, MO","29019","2019","2019",,,1896
,"Boone County, MO","29019","2020","2020","Yes","1",167
,"Boone County, MO","29019","2020","2020","No","2",1670
"Total","Boone County, MO","29019","2020","2020",,,1837
,"Boone County, MO","29019","2021","2021","Yes","1",149
,"Boone County, MO","29019","2021","2021","No","2",1608
"Total","Boone County, MO","29019","2021","2021",,,1757
,"Boone County, MO","29019","2022","2022","Yes","1",96
,"Boone County, MO","29019","2022","2022","No","2",1749
"Total","Boone County, MO","29019","2022","2022",,,1845
,"Boone County, MO","29019","2023","2023","Yes","1",103
,"Boone County, MO","29019","2023","2023","No","2",1655
"Total","Boone County, MO","29019","2023","2023",,,1758
,"Boone County, MO","29019","2024","2024","Yes","1",82
,"Boone County, MO","29019","2024","2024","No","2",1749
"Total","Boone County, MO","29019","2024","2024",,,1831
"Total","Boone County, MO","29019",,,,,16488
,"Clay County, MO","29047","2016","2016","Yes","1",282
,"Clay County, MO","29047","2016","2016","No","2",2444
"Total","Clay County, MO","29047","2016","2016",,,2726
,"Clay County, MO","29047","2017","2017","Yes","1",294
,"Clay County, MO","29047","2017","2017","No","2",2521
"Total","Clay County, MO","29047","2017","2017",,,2815
,"Clay County, MO","29047","2018","2018","Yes","1",277
,"Clay County, MO","29047","2018","2018","No","2",2624
"Total","Clay County, MO","29047","2018","2018",,,2901
,"Clay County, MO","29047","2019","2019","Yes","1",238
,"Clay County, MO","29047","2019","2019","No","2",2680
"Total","Clay County, MO","29047","2019","2019",,,2918
,"Clay County, MO","29047","2020","2020","Yes","1",212
,"Clay County, MO","29047","2020","2020","No","2",2579
"Total","Clay County, MO","29047","2020","2020",,,2791
,"Clay County, MO","29047","2021","2021","Yes","1",168
,"Clay County, MO","29047","2021","2021","No","2",2458
"Total","Clay County, MO","29047","2021","2021",,,2626
,"Clay County, MO","29047","2022","2022","Yes","1",135
,"Clay County, MO","29047","2022","2022","No","2",2605
"Total","Clay County, MO","29047","2022","2022",,,2740
,"Clay County, MO","29047","2023","2023","Yes","1",106
,"Clay County, MO","29047","2023","2023","No","2",2571
"Total","Clay County, MO","29047","2023","2023",,,2677
,"Clay County, MO","29047","2024","2024","Yes","1",79
,"Clay County, MO","29047","2024","2024","No","2",2734
"Total","Clay County, MO","29047","2024","2024",,,2813
"Total","Clay County, MO","29047",,,,,25007
,"Franklin County, MO","29071","2016","2016","Yes","1",228
,"Franklin County, MO","29071","2016","2016","No","2",911
"Total","Franklin County, MO","29071","2016","2016",,,1139
,"Franklin County, MO","29071","2017","2017","Yes","1",208
,"Franklin County, MO","29071","2017","2017","No","2",934
"Total","Franklin County, MO","29071","2017","2017",,,1142
,"Franklin County, MO","29071","2018","2018","Yes","1",195
,"Franklin County, MO","29071","2018","2018","No","2",879
"Total","Franklin County, MO","29071","2018","2018",,,1074
,"Franklin County, MO","29071","2019","2019","Yes","1",187
,"Franklin County, MO","29071","2019","2019","No","2",935
"Total","Franklin County, MO","29071","2019","2019",,,1122
,"Franklin County, MO","29071","2020","2020","Yes","1",157
,"Franklin County, MO","29071","2020","2020","No","2",844
"Total","Franklin County, MO","29071","2020","2020",,,1001
,"Franklin County, MO","29071","2021","2021","Yes","1",130
,"Franklin County, MO","29071","2021","2021","No","2",877
"Total","Franklin County, MO","29071","2021","2021",,,1007
,"Franklin County, MO","29071","2022","2022","Yes","1",103
,"Franklin County, MO","29071","2022","2022","No","2",924
"Total","Franklin County, MO","29071","2022","2022",,,1027
,"Franklin County, MO","29071","2023","2023","Yes","1",100
,"Franklin County, MO","29071","2023","2023","No","2",942
"Total","Franklin County, MO","29071","2023","2023",,,1042
,"Franklin County, MO","29071","2024","2024","Yes","1",79
,"Franklin County, MO","29071","2024","2024","No","2",1031
"Total","Franklin County, MO","29071","2024","2024",,,1110
"Total","Franklin County, MO","29071",,,,,9664
,"Greene County, MO","29077","2016","2016","Yes","1",397
,"Greene County, MO","29077","2016","2016","No","2",2304
"Total","Greene County, MO","29077","2016","2016",,,2701
,"Greene County, MO","29077","2017","2017","Yes","1",435
,"Greene County, MO","29077","2017","2017","No","2",2406
"Total","Greene County, MO","29077","2017","2017",,,2841
,"Greene County, MO","29077","2018","2018","Yes","1",496
,"Greene County, MO","29077","2018","2018","No","2",2612
"Total","Greene County, MO","29077","2018","2018",,,3108
,"Greene County, MO","29077","2019","2019","Yes","1",452
,"Greene County, MO","29077","2019","2019","No","2",2671
"Total","Greene County, MO","29077","2019","2019",,,3123
,"Greene County, MO","29077","2020","2020","Yes","1",433
,"Greene County, MO","29077","2020","2020","No","2",2582
"Total","Greene County, MO","29077","2020","2020",,,3015
,"Greene County, MO","29077","2021","2021","Yes","1",349
,"Greene County, MO","29077","2021","2021","No","2",2715
"Total","Greene County, MO","29077","2021","2021",,,3064
,"Greene County, MO","29077","2022","2022","Yes","1",253
,"Greene County, MO","29077","2022","2022","No","2",2683
"Total","Greene County, MO","29077","2022","2022",,,2936
,"Greene County, MO","29077","2023","2023","Yes","1",203
,"Greene County, MO","29077","2023","2023","No","2",2797
"Total","Greene County, MO","29077","2023","2023",,,3000
,"Greene County, MO","29077","2024","2024","Yes","1",210
,"Greene County, MO","29077","2024","2024","No","2",2994
"Total","Greene County, MO","29077","2024","2024",,,3204
"Total","Greene County, MO","29077",,,,,26992
,"Jackson County, MO","29095","2016","2016","Yes","1",1005
,"Jackson County, MO","29095","2016","2016","No","2",7062
"Total","Jackson County, MO","29095","2016","2016",,,8067
,"Jackson County, MO","29095","2017","2017","Yes","1",919
,"Jackson County, MO","29095","2017","2017","No","2",7218
"Total","Jackson County, MO","29095","2017","2017",,,8137
,"Jackson County, MO","29095","2018","2018","Yes","1",851
,"Jackson County, MO","29095","2018","2018","No","2",7304
"Total","Jackson County, MO","29095","2018","2018",,,8155
,"Jackson County, MO","29095","2019","2019","Yes","1",788
,"Jackson County, MO","29095","2019","2019","No","2",7301
"Total","Jackson County, MO","29095","2019","2019",,,8089
,"Jackson County, MO","29095","2020","2020","Yes","1",719
,"Jackson County, MO","29095","2020","2020","No","2",7162
"Total","Jackson County, MO","29095","2020","2020",,,7881
,"Jackson County, MO","29095","2021","2021","Yes","1",540
,"Jackson County, MO","29095","2021","2021","No","2",6906
"Total","Jackson County, MO","29095","2021","2021",,,7446
,"Jackson County, MO","29095","2022","2022","Yes","1",433
,"Jackson County, MO","29095","2022","2022","No","2",7502
"Total","Jackson County, MO","29095","2022","2022",,,7935
,"Jackson County, MO","29095","2023","2023","Yes","1",361
,"Jackson County, MO","29095","2023","2023","No","2",7668
"Total","Jackson County, MO","29095","2023","2023",,,8029
,"Jackson County, MO","29095","2024","2024","Yes","1",297
,"Jackson County, MO","29095","2024","2024","No","2",7901
"Total","Jackson County, MO","29095","2024","2024",,,8198
"Total","Jackson County, MO","29095",,,,,71937
,"Jasper County, MO","29097","2016","2016","Yes","1",278
,"Jasper County, MO","29097","2016","2016","No","2",1316
"Total","Jasper County, MO","29097","2016","2016",,,1594
,"Jasper County, MO","29097","2017","2017","Yes","1",257
,"Jasper County, MO","29097","2017","2017","No","2",1281
"Total","Jasper County, MO","29097","2017","2017",,,1538
,"Jasper County, MO","29097","2018","2018","Yes","1",243
,"Jasper County, MO","29097","2018","2018","No","2",1251
"Total","Jasper County, MO","29097","2018","2018",,,1494
,"Jasper County, MO","29097","2019","2019","Yes","1",221
,"Jasper County, MO","29097","2019","2019","No","2",1252
"Total","Jasper County, MO","29097","2019","2019",,,1473
,"Jasper County, MO","29097","2020","2020","Yes","1",205
,"Jasper County, MO","29097","2020","2020","No","2",1225
"Total","Jasper County, MO","29097","2020","2020",,,1430
,"Jasper County, MO","29097","2021","2021","Yes","1",153
,"Jasper County, MO","29097","2021","2021","No","2",1325
"Total","Jasper County, MO","29097","2021","2021",,,1478
,"Jasper County, MO","29097","2022","2022","Yes","1",137
,"Jasper County, MO","29097","2022","2022","No","2",1373
"Total","Jasper County, MO","29097","2022","2022",,,1510
,"Jasper County, MO","29097","2023","2023","Yes","1",95
