"Notes","County of Residence","County of Residence Code","Year","Year Code","Trimester Prenatal Care Began","Trimester Prenatal Care Began Code",Births
,"Boone County, MO","29019","2016","2016","1st to 3rd month","1",1588
,"Boone County, MO","29019","2016","2016","4th to 6th month","2",244
,"Boone County, MO","29019","2016","2016","7th to final month","3",45
,"Boone County, MO","29019","2017","2017","1st to 3rd month","1",1577
,"Boone County, MO","29019","2017","2017","4th to 6th month","2",231
,"Boone County, MO","29019","2017","2017","7th to final month","3",44
,"Boone County, MO","29019","2018","2018","1st to 3rd month","1",1545
,"Boone County, MO","29019","2018","2018","4th to 6th month","2",230
,"Boone County, MO","29019","2018","2018","7th to final month","3",40
,"Boone County, MO","29019","2019","2019","1st to 3rd month","1",1589
,"Boone County, MO","29019","2019","2019","4th to 6th month","2",229
,"Boone County, MO","29019","2019","2019","7th to final month","3",67
,"Boone County, MO","29019","2019","2019","No prenatal care","4",11
,"Boone County, MO","29019","2020","2020","1st to 3rd month","1",1553
,"Boone County, MO","29019","2020","2020","4th to 6th month","2",218
,"Boone County, MO","29019","2020","2020","7th to final month","3",55
,"Boone County, MO","29019","2020","2020","No prenatal care","4",11
,"Boone County, MO","29019","2021","2021","1st to 3rd month","1",1491
,"Boone County, MO","29019","2021","2021","4th to 6th month","2",201
,"Boone County, MO","29019","2021","2021","7th to final month","3",53
,"Boone County, MO","29019","2021","2021","No prenatal care","4",12
,"Boone County, MO","29019","2022","2022","1st to 3rd month","1",1566
,"Boone County, MO","29019","2022","2022","4th to 6th month","2",210
,"Boone County, MO","29019","2022","2022","7th to final month","3",57
,"Boone County, MO","29019","2022","2022","No prenatal care","4",12
,"Boone County, MO","29019","2023","2023","1st to 3rd month","1",1467
,"Boone County, MO","29019","2023","2023","4th to 6th month","2",235
,"Boone County, MO","29019","2023","2023","7th to final month","3",51
,"Boone County, MO","29019","2024","2024","1st to 3rd month","1",1516
,"Boone County, MO","29019","2024","2024","4th to 6th month","2",263
,"Boone County, MO","29019","2024","2024","7th to final month","3",44
,"Clay County, MO","29047","2016","2016","1st to 3rd month","1",2163
,"Clay County, MO","29047","2016","2016","4th to 6th month","2",433
,"Clay County, MO","29047","2016","2016","7th to final month","3",100
,"Clay County, MO","29047","2016","2016","No prenatal care","4",30
,"Clay County, MO","29047","2017","2017","1st to 3rd month","1",2200
,"Clay County, MO","29047","2017","2017","4th to 6th month","2",498
,"Clay County, MO","29047","2017","2017","7th to final month","3",93
,"Clay County, MO","29047","2017","2017","No prenatal care","4",24
,"Clay County, MO","29047","2018","2018","1st to 3rd month","1",2254
,"Clay County, MO","29047","2018","2018","4th to 6th month","2",524
,"Clay County, MO","29047","2018","2018","7th to final month","3",100
,"Clay County, MO","29047","2018","2018","No prenatal care","4",23
,"Clay County, MO","29047","2019","2019","1st to 3rd month","1",2325
,"Clay County, MO","29047","2019","2019","4th to 6th month","2",456
,"Clay County, MO","29047","2019","2019","7th to final month","3",111
,"Clay County, MO","29047","2019","2019","No prenatal care","4",26
,"Clay County, MO","29047","2020","2020","1st to 3rd month","1",2195
,"Clay County, MO","29047","2020","2020","4th to 6th month","2",461
,"Clay County, MO","29047","2020","2020","7th to final month","3",99
,"Clay County, MO","29047","2020","2020","No prenatal care","4",36
,"Clay County, MO","29047","2021","2021","1st to 3rd month","1",2144
,"Clay County, MO","29047","2021","2021","4th to 6th month","2",367
,"Clay County, MO","29047","2021","2021","7th to final month","3",83
,"Clay County, MO","29047","2021","2021","No prenatal care","4",32
,"Clay County, MO","29047","2022","2022","1st to 3rd month","1",2232
,"Clay County, MO","29047","2022","2022","4th to 6th month","2",388
,"Clay County, MO","29047","2022","2022","7th to final month","3",98
,"Clay County, MO","29047","2022","2022","No prenatal care","4",22
,"Clay County, MO","29047","2023","2023","1st to 3rd month","1",2165
