,,,Premature Death,,,,,,,,,,,,,,,,,,,,,,,,,,Poor or Fair Health,,,,Poor Physical Health Days,,,,Poor Mental Health Days,,,,Low Birthweight,,,,,,,,,,,,,,,,,,,,Adult Smoking,,,,Adult Obesity,,,,Food Environment Index,,Physical Inactivity,,,,Access to Exercise Opportunities,,Excessive Drinking,,,,Alcohol-Impaired Driving Deaths,,,,,,Sexually Transmitted Infections,,,Teen Births,,,,,,,,,,,,,,,,,,,Uninsured,,,,,Primary Care Physicians,,,,Dentists,,,,Mental Health Providers,,,,Preventable Hospital Stays,,,,,,,Mammography Screening,,,,,,,Flu Vaccinations,,,,,,,High School Completion,,,,,,Some College,,,,,,Unemployment,,,,Children in Poverty,,,,,,,,,Income Inequality,,,,Children in Single-Parent Households,,,,,,Social Associations,,,Injury Deaths,,,,,,,,,,,,,,,,,,,,Air Pollution - Particulate Matter,,Drinking Water Violations,,Severe Housing Problems,,,,,,,,,,,,,Driving Alone to Work,,,,,,,,,,,,,,,,,,,Long Commute - Driving Alone,,,,
FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Adults Reporting Currently Smoking,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% with Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low,95% CI - High,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
29000,Missouri,,,92687,8860,8774,8946,,5241,4348,6135,,3412,3086,3739,,15644,15321,15968,,5252,4946,5558,,8129,8037,8221,,15,14,16,,3.4,3.2,3.6,,4.9,4.7,5.2,,,9,9,9,,10,8,11,9,8,9,15,15,15,7,7,8,7,7,7,19,17,20,,34,33,36,,6.8,,25,24,26,,76,,20,19,21,,1286,4667,28,27,28,,31815,518.4,,23,22,23,,21,18,24,7,6,8,35,35,36,33,32,35,20,20,20,597591,12,12,13,,4367,71,1409:1,,3815,62,1617:1,,14252,231,433:1,,3052,,4518,2335,5226,2969,2868,40,,24,27,36,32,41,49,,45,51,37,43,50,3810280,4187819,91,91,91,,1060529,1577435,67,67,68,,134087,3062458,4.4,,17,16,17,,27,11,34,23,13,118736,26269,4.5,,337095,1386290,24,24,25,,6983,11.4,,29326,96,95,97,,52,42,64,28,24,32,151,148,155,43,40,47,92,91,93,7.6,,,,13,13,13,11,11,11,2,2,2,1,1,1,,79,79,80,,72,69,76,70,69,72,74,73,75,75,73,76,81,81,81,2910919,32,32,32,
29001,Missouri,Adair,,313,8052,6680,9424,-0.63,,,,,,,,,,,,,,,,,,,,,17,15,19,-0.14,3.9,3.5,4.2,-0.07,5.1,4.8,5.4,0.29,,8,7,9,0.12,,,,,,,10,5,14,,,,8,6,9,22,18,25,-0.38,40,38,42,0.75,6.9,0.26,27,24,30,-0.22,77,-1.13,18,17,19,-0.43,4,18,22,10,36,-0.25,79,311.7,-0.09,9,8,11,-1.84,,,,,,,,,,,,,,,,3081,17,14,19,0.66,41,161,619:1,-3.90,21,83,1199:1,-2.03,71,282,355:1,-1.50,2102,-1.07,,,,,,36,0.16,,,,,,54,-1.40,,73,45,55,55,12583,13692,92,90,94,-0.98,3114,4816,65,57,72,-1.02,427,9908,4.3,0.15,20,14,27,-0.10,,,,,,97421,15785,6.2,3.42,727,4583,16,11,21,-0.81,28,11.0,0.13,88,69,56,85,-1.10,,,,,,,,,,,,,,,,7.5,-0.34,No,-0.65,14,11,16,13,10,15,1,0,1,2,1,3,0.66,76,72,80,-0.90,,,,,,,,,,,,,,,,10240,16,12,19,-1.73
29003,Missouri,Andrew,,219,6581,5168,7994,-1.36,,,,,,,,,,,,,,,,,,,,,14,12,16,-1.49,3.3,3.0,3.6,-1.61,4.8,4.5,5.2,-0.84,,7,6,9,-0.61,,,,,,,,,,,,,,,,19,15,22,-1.51,38,36,40,-0.06,8.4,-1.34,24,21,27,-1.16,51,0.08,20,19,21,0.92,5,26,19,10,31,-0.52,53,299.2,-0.16,15,12,20,-1.26,,,,,,,,,,,,,,,,1750,12,11,14,-0.93,2,11,8793:1,1.05,5,28,3600:1,0.43,4,22,4501:1,0.98,3351,0.33,,,,,,41,-0.72,,,,,,48,-0.76,,,,,,11704,12517,94,92,95,-1.37,2840,4250,67,58,76,-1.24,292,9656,3.0,-1.20,11,7,14,-1.55,,,,1,4,115867,27828,4.2,-0.35,838,4214,20,13,27,-0.20,13,7.4,1.10,63,72,55,92,-0.98,,,,,,,,,,,,,,,,7.9,0.26,No,-0.65,9,6,12,8,5,10,1,0,1,1,0,2,-1.07,87,83,90,1.52,,,,,,,,,,,,,,,,8529,28,23,32,-0.60
29005,Missouri,Atchison,,104,8286,5689,10884,-0.52,,,,,,,,,,,,,,,,,,,,,15,13,18,-0.76,3.6,3.3,4.0,-0.66,5.0,4.7,5.4,-0.06,x,3,2,5,-3.00,,,,,,,,,,,,,,,,21,18,25,-0.68,36,34,38,-0.82,8.2,-1.13,25,22,28,-0.90,39,0.64,20,19,21,0.75,2,5,40,15,62,1.37,7,136.1,-1.04,,,,0.00,,,,,,,,,,,,,,,,559,15,13,17,0.06,2,39,2548:1,0.13,2,38,2617:1,-0.03,3,57,1745:1,0.65,4535,1.66,,,,,,44,-1.25,,,,,,36,0.53,,,,,,3500,3887,90,88,93,-0.52,571,1105,52,43,60,0.31,86,2655,3.2,-0.97,18,12,24,-0.49,,,,49,18,101710,23090,4.4,0.11,196,1107,18,10,25,-0.53,14,27.5,-3.00,24,92,59,137,0.04,,,,,,,,,,,,,,,,7.4,-0.49,No,-0.65,9,6,11,8,5,11,1,0,2,0,0,1,-1.26,79,76,83,-0.10,,,,,,,,,,,,,,,,2551,23,18,27,-1.04
29007,Missouri,Audrain,,415,9025,7635,10416,-0.15,,,,,,,,,,,,,,,,,,,,,19,17,21,0.48,4.2,3.8,4.5,0.66,5.2,4.9,5.5,0.73,,9,8,10,0.70,,,,,,,18,12,24,,,,8,7,10,24,21,27,0.15,40,38,41,0.55,7.1,0.04,30,27,33,0.70,73,-0.93,18,17,19,-0.67,3,20,15,5,28,-0.91,158,622.3,1.59,30,25,35,0.16,,,,,,,43,25,69,,,,30,25,35,2975,16,14,18,0.44,11,44,2258:1,-0.04,11,44,2271:1,-0.29,54,216,463:1,-0.87,1936,-1.26,,,,,,44,-1.25,,,59,,43,34,0.74,,,32,,34,15232,17452,87,85,90,0.15,3219,6474,50,43,56,0.50,376,10246,3.7,-0.52,23,15,31,0.36,,,8,73,26,97771,25351,3.9,-0.92,1289,5784,22,15,29,0.17,24,9.7,0.50,92,72,58,89,-0.96,,,,,,,,,,,,,,,,7.9,0.26,Yes,1.54,9,7,11,7,6,9,1,0,2,1,0,1,-0.98,84,80,87,0.84,,,,,,,,,,,,,,,,10886,29,24,33,-0.50
29009,Missouri,Barry,,682,9136,7991,10281,-0.10,,,,,,,,,,,,,,,,,,,,,18,16,21,0.40,4.0,3.7,4.4,0.31,5.1,4.8,5.4,0.14,,8,7,9,-0.08,,,,,,,,,,6,4,9,8,7,9,24,20,27,0.18,38,37,40,0.06,7.0,0.15,29,27,32,0.57,57,-0.21,18,17,19,-0.57,15,50,30,23,38,0.46,55,153.7,-0.94,36,32,41,0.77,,,,,,,,,,39,28,53,37,32,41,4713,17,15,20,0.91,22,61,1628:1,-0.60,11,32,3156:1,0.26,34,98,1021:1,0.26,2211,-0.95,,,,1435,2194,37,-0.02,,,,23,37,37,0.42,,34,,30,37,20742,24371,85,83,87,0.68,3445,7684,45,38,51,1.00,688,15094,4.6,0.40,29,22,36,1.32,23,,,39,29,99205,24142,4.1,-0.45,1519,7916,19,13,26,-0.30,42,11.7,-0.05,166,93,79,107,0.06,,,,,,,,,,,,,,,,8.3,0.86,No,-0.65,16,13,19,11,9,13,5,3,6,1,1,2,1.56,81,78,85,0.28,,,,,,,,,,74,59,89,81,77,85,14537,28,24,32,-0.56
29011,Missouri,Barton,,174,7091,5443,8738,-1.11,,,,,,,,,,,,,,,,,,,,,19,16,21,0.48,4.1,3.8,4.5,0.57,5.1,4.8,5.5,0.41,,8,7,10,0.26,,,,,,,,,,,,,,,,25,21,29,0.52,40,37,42,0.52,4.7,2.60,29,26,33,0.54,48,0.23,19,18,20,-0.03,2,6,33,11,55,0.76,20,170.2,-0.85,34,27,42,0.55,,,,,,,,,,,,,,,,1475,16,14,19,0.61,3,26,3864:1,0.57,2,17,5829:1,0.90,9,77,1295:1,0.46,2587,-0.53,,,,,,40,-0.55,,,,,,41,-0.01,,,,,,7042,8032,88,85,90,0.05,1520,2592,59,46,71,-0.40,176,5190,3.4,-0.81,21,13,28,0.01,34,,,43,21,93451,19044,4.9,1.05,605,2776,22,11,32,0.10,14,12.1,-0.15,40,68,49,92,-1.17,,,,,,,,,,,,,,,,8.1,0.56,No,-0.65,13,9,16,9,6,13,2,1,4,1,0,3,0.32,81,74,89,0.33,,,,,,,,,,,,,,,,4766,35,29,41,0.10
29013,Missouri,Bates,,269,8762,7092,10431,-0.28,,,,,,,,,,,,,,,,,,,,,17,15,20,0.01,3.9,3.6,4.3,0.07,5.0,4.7,5.3,-0.19,,7,5,8,-0.95,,,,,,,,,,,,,,,,24,21,28,0.28,41,39,43,1.13,7.2,-0.06,29,26,32,0.57,42,0.47,18,17,19,-0.89,2,16,13,3,28,-1.14,34,210.2,-0.64,27,21,33,-0.15,,,,,,,,,,,,,,,,1977,16,13,18,0.29,4,25,4061:1,0.61,4,25,4026:1,0.56,11,68,1464:1,0.54,4130,1.21,,,,,,37,-0.02,,,,,,30,1.17,,,,,,9741,11062,88,86,90,-0.04,1617,3643,44,37,52,1.05,325,7647,4.3,0.08,19,13,25,-0.30,,,37,35,26,103197,23045,4.5,0.24,859,3840,22,16,29,0.19,17,10.5,0.28,77,94,75,118,0.14,,,,,,,,,,,,,,,,7.4,-0.49,Yes,1.54,13,11,16,8,6,10,4,3,6,1,0,2,0.47,78,75,81,-0.36,,,,,,,,,,,,,,,,6951,52,46,58,1.73
29015,Missouri,Benton,,451,10494,8563,12424,0.57,,,,,,,,,,,,,,,,,,,,,18,16,20,0.13,3.9,3.6,4.3,0.01,5.0,4.7,5.4,0.01,,7,5,8,-0.88,,,,,,,,,,,,,,,,24,20,28,0.42,40,38,42,0.63,6.9,0.26,28,25,31,0.05,33,0.90,19,18,20,0.15,6,15,40,26,53,1.37,60,308.6,-0.11,32,26,39,0.35,,,,,,,,,,,,,,,,2035,16,13,18,0.27,6,31,3271:1,0.41,3,15,6636:1,0.99,15,75,1327:1,0.48,2306,-0.84,,,,,,33,0.68,,,,,,39,0.21,,,,46,39,13016,14969,87,85,89,0.23,1620,3240,50,41,59,0.48,417,7322,5.7,1.59,27,17,36,0.95,,,2,38,31,90324,19403,4.7,0.58,806,3344,24,16,32,0.45,26,13.2,-0.46,116,121,99,142,1.42,,,,,,,,,,,,,,,,7.4,-0.49,Yes,1.54,13,10,16,10,8,13,2,1,3,2,1,3,0.43,81,76,86,0.23,,,,,,,,,,,,,,,,6772,42,35,48,0.73
