Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Prenatal Care:  Began First Trimester;,
Year:,2016,2016,,2017,2017,,2018,2018,2019,2019,,2020,2020,,2021,2021,,2022,2022,2023,2023,,2024,2024,,Total for selection,Total for selection,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,Count,Rate,,Count,Rate,,Count,Rate,,
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adair,210,78.07,,199,75.95,,212,74.91,231,77.26,,208,74.55,,198,75.57,,206,73.84,189,67.74,,186,74.40,,1839,74.70,,
Andrew,155,84.70,,174,90.16,,156,84.78,182,84.65,,142,79.78,,147,83.52,,132,84.62,125,81.70,,99,64.71,,1312,82.46,,
Atchison,42,82.35,,38,76.00,,33,80.49,36,78.26,,45,86.54,,32,84.21,,47,90.38,49,81.67,,31,70.45,,353,81.34,,
Audrain,230,66.86,,209,67.86,,196,62.03,202,71.38,,185,68.52,,210,70.23,,163,63.18,203,67.89,,184,66.91,,1782,67.19,,
Barry,275,68.58,,279,67.55,,286,68.26,261,69.23,,285,72.34,,295,76.42,,300,73.17,297,73.15,,281,67.55,,2559,70.65,,
Barton,87,71.31,,91,73.98,,102,75.00,90,76.27,,96,66.21,,87,71.90,,104,77.04,115,71.43,,96,64.86,,868,71.79,,
Bates,107,64.07,,144,73.10,,127,75.60,137,74.86,,148,78.72,,134,78.82,,127,73.41,152,73.08,,137,68.16,,1213,73.29,,
Benton,110,70.51,,121,73.33,,129,71.27,100,64.52,,98,62.03,,97,67.36,,114,69.09,105,65.63,,128,71.11,,1002,68.44,,
Bollinger,75,67.57,,95,76.61,,113,76.87,93,69.40,,105,73.94,,88,69.84,,112,84.21,110,80.29,,108,82.44,,899,75.86,,
Boone,1685,82.20,,1665,81.62,,1663,82.90,1637,80.01,,1586,80.92,,1537,81.32,,1603,80.76,1429,78.82,,1494,79.13,,14299,80.89,,
Buchanan,835,74.09,,788,73.44,,822,75.55,776,75.49,,762,72.16,,746,76.75,,753,76.76,688,69.28,,559,56.35,,6729,72.28,,
Butler,404,71.00,,361,70.65,,318,64.24,423,77.61,,374,70.30,,437,80.18,,371,79.27,366,75.00,,385,76.39,,3439,73.85,,
Caldwell,71,78.02,,53,66.25,,89,82.41,63,63.00,,72,78.26,,75,76.53,,84,78.50,67,75.28,,70,76.09,,644,75.15,,
Callaway,347,75.93,,345,75.49,,388,78.86,362,74.03,,361,78.65,,354,79.73,,382,82.33,364,80.18,,364,81.43,,3267,78.48,,
Camden,275,72.56,,295,73.20,,282,76.63,246,70.29,,241,67.51,,265,77.71,,277,74.26,250,76.45,,276,77.53,,2407,73.97,,
Cape Girardeau,656,75.32,,650,73.95,,634,70.92,626,75.24,,684,76.25,,698,81.35,,724,78.61,681,78.10,,678,81.49,,6031,76.77,,
Carroll,79,74.53,,57,75.00,,61,70.11,70,81.40,,67,81.71,,73,80.22,,62,78.48,62,79.49,,66,83.54,,597,78.14,,
Carter,53,65.43,,39,57.35,,53,60.92,49,71.01,,57,77.03,,78,81.25,,60,81.08,71,86.59,,53,82.81,,513,73.81,,
Cass,917,76.48,,812,74.84,,830,73.52,894,77.54,,830,76.57,,896,76.65,,835,73.63,793,70.74,,855,68.13,,7662,74.18,,
Cedar,141,75.00,,104,59.43,,118,62.43,105,56.76,,117,66.48,,125,62.50,,160,72.40,109,62.29,,125,62.81,,1104,64.64,,
Chariton,62,77.50,,66,81.48,,65,75.58,78,80.41,,58,82.86,,62,80.52,,62,87.32,51,77.27,,73,82.95,,577,80.59,,
Christian,669,74.17,,746,74.67,,798,76.95,840,78.73,,763,79.15,,841,79.56,,780,76.47,798,78.39,,762,76.58,,6997,77.24,,
Clark,52,70.27,,48,71.64,,61,80.26,62,83.78,,68,80.95,,58,77.33,,55,72.37,45,70.31,,39,65.00,,488,75.08,,
Clay,2148,74.48,,2176,73.66,,2241,73.45,2303,75.88,,2207,74.66,,2222,76.78,,2257,76.82,2120,76.04,,2193,76.01,,19867,75.30,,
Clinton,188,75.20,,186,82.67,,174,79.82,177,76.96,,187,79.24,,189,84.75,,195,83.33,174,78.38,,207,80.54,,1677,80.05,,
Cole,688,75.03,,616,74.49,,670,73.79,645,80.42,,634,78.27,,654,80.44,,624,81.04,703,83.79,,637,81.46,,5871,78.62,,
Cooper,152,79.17,,155,79.90,,166,78.30,160,80.00,,135,79.41,,157,81.35,,137,81.55,144,84.71,,158,80.61,,1364,80.47,,
