Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Education Status:  Less Than 12 Years;,
Year:,2016,2016,,2017,2017,,2018,2018,,2019,2019,,2020,2020,,2021,2021,,2022,2022,,2023,2023,,2024,2024,,Total for selection,Total for selection,,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,,
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adair,46,17.04,,34,12.88,,41,14.34,,35,11.71,,52,18.31,,34,12.83,,35,12.41,,37,13.07,,32,12.65,,346,13.92,,,
Andrew,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,74,4.58,,,
Atchison,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,19,4.37,*,,
Audrain,90,25.21,,83,25.54,,96,29.72,,68,23.29,,71,25.72,,92,30.07,,86,32.21,,76,25.00,,79,27.92,,741,27.11,,,
Barry,88,21.00,,92,21.90,,81,19.06,,76,19.95,,85,21.30,,75,18.94,,77,18.69,,73,17.94,,81,19.42,,728,19.80,,,
Barton,24,18.75,,23,18.11,,26,18.84,,27,23.08,,31,20.67,,23,18.55,,29,20.57,,40,24.69,,25,16.89,,248,20.08,,,
Bates,23,13.53,,33,16.58,,24,13.95,,26,13.68,,23,12.04,,26,14.69,,15,8.62,*,29,13.81,,25,12.38,,224,13.29,,,
Benton,25,15.92,,34,20.00,,38,20.77,,29,18.35,,35,21.74,,33,22.76,,30,17.54,,28,17.28,,40,21.62,,292,19.57,,,
Bollinger,17,14.91,*,17,13.60,*,17,11.41,*,11,8.21,*,24,16.90,,21,16.54,,10,7.46,*,20,14.29,,21,15.91,,158,13.20,,,
Boone,153,7.33,,150,7.26,,172,8.44,,155,7.49,,135,6.85,,143,7.46,,138,6.89,,165,9.09,,149,7.88,,1360,7.62,,,
Buchanan,213,18.49,,216,19.64,,175,15.71,,185,17.79,,192,17.94,,164,16.73,,177,17.90,,183,18.47,,204,20.44,,1709,18.12,,,
Butler,107,18.64,,79,15.34,,88,17.64,,97,17.96,,104,19.15,,98,18.05,,83,17.55,,87,17.86,,85,16.97,,828,17.71,,,
Caldwell,13,13.68,*,13,15.29,*,16,14.81,*,12,11.88,*,15,15.79,*,15,15.00,*,14,13.08,*,9,10.11,*,10,10.75,*,117,13.40,,,
Callaway,61,13.17,,59,12.74,,57,11.38,,48,9.62,,42,9.11,,36,8.07,,54,11.42,,53,11.57,,44,9.78,,454,10.77,,,
Camden,45,11.81,,44,10.73,,36,9.68,,41,11.33,,36,9.76,,21,5.95,,39,10.32,,36,10.81,,48,13.33,,346,10.43,,,
Cape Girardeau,75,8.38,,87,9.75,,81,8.70,,86,10.12,,84,9.26,,86,9.83,,78,8.42,,82,9.30,,81,9.64,,740,9.25,,,
Carroll,18,16.51,*,11,13.75,*,18,20.00,*,12,13.48,*,10,12.05,*,7,7.45,*,7,8.64,*,11,14.10,*,9,11.25,*,103,13.14,,,
Carter,18,21.95,*,16,23.53,*,21,24.14,,14,20.00,*,10,13.16,*,13,13.40,*,7,9.33,*,14,17.28,*,9,13.64,*,122,17.38,,,
Cass,124,10.16,,98,8.79,,88,7.67,,90,7.75,,59,5.43,,88,7.46,,79,6.92,,60,5.37,,83,6.58,,769,7.37,,,
Cedar,38,19.49,,53,30.11,,44,22.68,,47,25.13,,41,22.91,,60,29.41,,52,23.42,,57,32.57,,42,20.90,,434,25.04,,,
Chariton,11,13.41,*,11,13.41,*,19,21.11,*,13,13.54,*,7,9.86,*,12,15.00,*,5,7.04,*,5,7.35,*,7,7.78,*,90,12.33,,,
Christian,69,6.92,,61,5.92,,66,6.32,,55,5.05,,62,6.32,,53,4.96,,42,4.10,,65,6.34,,59,5.90,,532,5.74,,,
Clark,11,14.67,*,14,19.44,*,8,10.26,*,16,21.33,*,17,19.54,*,16,21.33,*,19,25.00,*,14,21.54,*,8,13.79,*,123,18.61,,,
Clay,218,7.32,,211,6.93,,181,5.81,,189,6.12,,167,5.58,,179,6.10,,147,4.92,,163,5.77,,155,5.30,,1610,5.99,,,
Clinton,26,10.20,,19,8.33,*,21,9.46,,17,7.26,*,23,9.66,,21,9.09,,14,5.88,*,17,7.42,*,21,8.08,,179,8.38,,,
Cole,90,9.58,,83,9.83,,84,9.12,,64,7.83,,62,7.58,,69,8.24,,57,7.22,,79,9.36,,61,7.71,,649,8.54,,,
