Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Live Births;,
Year:,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total for selection,,
Statistics:,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,,
County,,,,,,,,,,,,
Adair,272,266,287,301,284,266,282,283,254,2495,,
Andrew,183,197,188,217,182,179,159,155,156,1616,,
Atchison,53,51,41,46,52,38,52,60,44,437,,
Audrain,358,326,325,292,276,306,268,305,284,2740,,
Barry,419,421,425,383,400,396,413,409,418,3684,,
Barton,128,128,138,119,150,124,141,162,148,1238,,
Bates,170,199,172,190,191,177,176,210,202,1687,,
Benton,158,171,183,158,161,147,171,162,185,1496,,
Bollinger,114,125,149,135,142,127,134,140,132,1198,,
Boone,2092,2073,2051,2075,1979,1922,2008,1823,1897,17920,,
Buchanan,1154,1102,1118,1042,1074,983,989,1000,1001,9463,,
Butler,576,516,500,546,544,549,475,492,508,4706,,
Caldwell,95,85,108,101,95,100,107,89,93,873,,
Callaway,464,466,501,501,461,448,475,459,450,4225,,
Camden,381,410,372,363,369,354,379,333,361,3322,,
Cape Girardeau,896,892,931,850,907,875,927,882,843,8003,,
Carroll,109,80,90,89,84,94,81,78,80,785,,
Carter,82,70,87,70,76,97,75,82,66,705,,
Cass,1225,1117,1150,1165,1093,1181,1145,1126,1263,10465,,
Cedar,196,177,194,188,180,204,224,175,201,1739,,
Chariton,82,82,91,98,71,80,71,68,90,733,,
Christian,999,1034,1045,1092,982,1072,1028,1027,1001,9280,,
Clark,75,72,78,75,87,76,76,65,60,664,,
Clay,2981,3054,3121,3096,3000,2948,2996,2835,2934,26965,,
Clinton,255,228,223,235,238,231,238,229,260,2137,,
Cole,939,845,923,819,820,838,789,847,792,7612,,
Cooper,192,196,215,201,174,194,170,173,202,1717,,
Crawford,265,254,265,256,226,240,242,244,263,2255,,
Dade,71,70,75,69,78,57,64,64,78,626,,
Dallas,213,204,239,219,215,221,201,205,198,1915,,
Daviess,110,119,129,119,121,104,127,110,101,1040,,
DeKalb,123,96,102,81,105,87,104,90,89,877,,
