Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Birth Weight:  Low (less than 2500 g);,
Year:,2016,2016,,2017,2017,,2018,2018,,2019,2019,,2020,2020,,2021,2021,,2022,2022,,2023,2023,,2024,2024,,Total for selection,Total for selection,,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,,
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adair,22,8.09,,26,9.77,,22,7.67,,32,10.63,,20,7.04,,24,9.02,,19,6.74,*,23,8.16,,23,9.06,,211,8.46,,,
Andrew,17,9.29,*,5,2.54,*,15,7.98,*,12,5.56,*,19,10.44,*,12,6.70,*,13,8.18,*,10,6.45,*,7,4.49,*,110,6.81,,,
Atchison,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,22,5.03,,,
Audrain,31,8.66,,44,13.50,,29,8.98,,25,8.56,,27,9.78,,36,11.76,,15,5.60,*,31,10.16,,28,9.86,,266,9.72,,,
Barry,33,7.88,,39,9.26,,22,5.18,,24,6.27,,39,9.75,,33,8.33,,38,9.20,,41,10.02,,33,7.89,,302,8.20,,,
Barton,13,10.16,*,10,7.81,*,11,7.97,*,10,8.40,*,12,8.05,*,8,6.45,*,11,7.80,*,19,11.73,*,6,4.05,*,100,8.08,,,
Bates,11,6.51,*,9,4.52,*,11,6.40,*,14,7.37,*,12,6.28,*,12,6.78,*,12,6.82,*,18,8.57,*,21,10.40,,120,7.12,,,
Benton,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,108,7.23,,,
Bollinger,5,4.39,*,9,7.20,*,11,7.38,*,8,5.93,*,15,10.56,*,11,8.66,*,15,11.19,*,14,10.00,*,8,6.06,*,96,8.01,,,
Boone,157,7.51,,196,9.46,,183,8.93,,192,9.25,,138,6.97,,166,8.64,,191,9.51,,175,9.60,,154,8.12,,1552,8.66,,,
Buchanan,105,9.10,,101,9.17,,94,8.41,,95,9.13,,96,8.94,,103,10.51,,106,10.73,,96,9.60,,92,9.19,,888,9.39,,,
Butler,60,10.42,,51,9.88,,61,12.20,,50,9.16,,70,12.87,,49,8.93,,43,9.05,,57,11.59,,35,6.89,,476,10.11,,,
Caldwell,9,9.47,*,7,8.24,*,8,7.41,*,13,12.87,*,9,9.47,*,10,10.00,*,5,4.67,*,7,7.87,*,6,6.45,*,74,8.48,,,
Callaway,36,7.76,,34,7.30,,33,6.59,,37,7.40,,31,6.72,,37,8.26,,44,9.26,,49,10.68,,31,6.89,,332,7.86,,,
