Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Prenatal Service Utilization:  Mother on Medicaid;,
Year:,2016,2016,,2017,2017,,2018,2018,,2019,2019,,2020,2020,,2021,2021,,2022,2022,,2023,2023,,2024,2024,,Total for selection,Total for selection,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adair,86,31.73,,74,27.82,,93,32.40,,92,30.56,,97,34.15,,102,38.35,,141,50.00,,118,41.70,,133,52.36,,936,37.53,,
Andrew,46,25.27,,56,28.43,,52,27.96,,60,27.65,,55,30.22,,51,28.65,,45,28.48,,44,28.39,,52,33.33,,461,28.62,,
Atchison,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,123,28.34,,
Audrain,144,40.68,,124,38.39,,138,42.99,,116,39.73,,118,43.22,,124,40.52,,114,42.54,,140,46.05,,127,44.72,,1145,42.02,,
Barry,240,57.42,,231,55.53,,231,54.35,,200,52.49,,208,52.93,,213,54.06,,205,49.64,,208,51.11,,217,52.16,,1953,53.32,,
Barton,56,45.16,,56,44.09,,61,44.53,,48,40.68,,71,47.33,,49,40.50,,56,39.72,,73,45.06,,60,40.82,,530,43.19,,
Bates,78,46.43,,95,49.22,,72,43.11,,73,38.83,,65,35.33,,75,44.12,,70,42.17,,92,44.44,,85,42.71,,705,42.94,,
Benton,73,47.10,,98,57.99,,92,51.40,,79,50.32,,76,48.41,,59,43.07,,82,50.31,,81,50.94,,99,54.70,,739,50.72,,
Bollinger,63,55.26,,56,45.16,,76,52.05,,65,48.51,,68,48.57,,62,49.21,,61,45.52,,63,45.00,,59,44.70,,573,48.15,,
Boone,518,24.77,,546,26.38,,615,30.01,,637,30.77,,622,31.43,,655,34.10,,632,31.47,,665,36.48,,611,32.23,,5501,30.72,,
Buchanan,593,51.61,,563,51.14,,559,50.22,,559,53.80,,550,51.45,,529,54.09,,536,54.47,,567,56.76,,499,49.90,,4955,52.53,,
Butler,351,61.04,,338,65.63,,333,66.73,,318,58.24,,377,69.43,,401,73.31,,376,79.16,,372,75.61,,338,67.33,,3204,68.26,,
Caldwell,38,40.43,,36,42.86,,42,39.62,,38,37.62,,44,46.81,,40,40.82,,45,43.69,,37,42.53,,30,32.26,,350,40.70,,
Callaway,144,31.17,,161,34.55,,182,36.33,,188,37.52,,158,34.27,,176,39.46,,201,42.41,,188,40.96,,164,36.44,,1562,37.01,,
Camden,215,56.73,,224,54.77,,178,47.85,,188,51.93,,202,55.04,,194,54.80,,238,62.96,,195,58.73,,198,54.85,,1832,55.28,,
Cape Girardeau,361,40.29,,332,37.60,,353,38.29,,318,37.72,,348,38.45,,362,41.42,,345,37.22,,358,40.64,,285,33.89,,3062,38.41,,
Carroll,49,45.79,,42,53.85,,40,44.94,,34,38.20,,28,33.33,,39,41.94,,30,37.50,,32,41.03,,33,41.25,,327,42.03,,
Carter,41,50.00,,53,75.71,,55,63.22,,41,58.57,,53,70.67,,68,70.10,,56,74.67,,59,71.95,,41,63.08,,467,66.43,,
Cass,394,32.89,,354,32.24,,348,30.55,,363,31.54,,284,26.42,,369,31.81,,318,28.24,,327,29.14,,351,27.86,,3108,30.09,,
Cedar,85,44.97,,86,48.86,,76,40.00,,76,40.64,,84,47.73,,81,41.12,,97,43.30,,82,46.86,,93,46.97,,760,44.39,,
Chariton,27,32.93,,19,23.17,*,35,38.89,,35,35.71,,22,30.99,,18,22.50,*,31,43.66,,19,27.94,*,28,31.11,,234,31.97,,
Christian,364,36.84,,290,28.29,,332,31.89,,316,29.10,,333,34.12,,381,35.57,,307,29.92,,372,36.26,,369,36.94,,3064,33.17,,
Clark,34,45.33,,28,38.89,,27,35.06,,23,30.67,,28,32.18,,29,38.67,,34,44.74,,25,38.46,,16,26.67,*,244,36.86,,
Clay,725,24.53,,855,28.16,,860,27.83,,821,26.59,,815,27.71,,779,27.76,,790,26.84,,829,29.38,,794,27.11,,7268,27.31,,
Clinton,112,44.09,,66,29.20,,89,40.64,,82,35.04,,81,34.32,,81,35.37,,79,34.05,,65,28.89,,73,28.08,,728,34.42,,
Cole,283,30.17,,260,30.77,,301,32.65,,249,30.40,,237,28.94,,307,36.72,,284,36.09,,309,36.48,,276,34.89,,2506,32.96,,
