Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Gestation:  Preterm (less than 37 completed weeks);,
Year:,2016,2016,,2017,2017,,2018,2018,,2019,2019,,2020,2020,,2021,2021,,2022,2022,,2023,2023,,2024,2024,,Total for selection,Total for selection,,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,,
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adair,35,12.87,,26,9.77,,24,8.36,,41,13.62,,32,11.27,,27,10.15,,25,8.87,,26,9.19,,28,11.07,,264,10.59,,,
Andrew,22,12.02,,9,4.57,*,14,7.45,*,18,8.29,*,26,14.29,,15,8.38,*,18,11.32,*,11,7.10,*,11,7.05,*,144,8.91,,,
Atchison,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,43,9.84,,,
Audrain,34,9.55,,47,14.42,,28,8.64,,31,10.62,,37,13.45,,36,11.76,,17,6.37,*,42,13.77,,36,12.68,,308,11.26,,,
Barry,40,9.57,,57,13.54,,35,8.24,,31,8.09,,43,10.75,,50,12.69,,41,9.93,,47,11.52,,53,12.74,,397,10.79,,,
Barton,15,11.72,*,20,15.63,,15,10.87,*,10,8.40,*,14,9.33,*,16,12.90,*,15,10.64,*,19,11.73,*,11,7.43,*,135,10.90,,,
Bates,17,10.00,*,19,9.55,*,13,7.56,*,19,10.00,*,15,7.89,*,26,14.69,,17,9.71,*,30,14.29,,25,12.38,,181,10.74,,,
Benton,11,6.96,*,22,12.94,,20,10.99,,12,7.59,*,8,4.97,*,15,10.20,*,17,9.94,*,11,6.79,*,20,10.81,,136,9.10,,,
Bollinger,8,7.02,*,10,8.00,*,14,9.40,*,11,8.15,*,21,14.79,,19,14.96,*,13,9.70,*,19,13.67,*,15,11.36,*,130,10.86,,,
Boone,181,8.65,,225,10.85,,216,10.54,,227,10.95,,187,9.45,,198,10.31,,201,10.01,,217,11.92,,206,10.86,,1858,10.37,,,
Buchanan,101,8.75,,120,10.89,,93,8.32,,128,12.28,,98,9.12,,76,7.74,,114,11.54,,101,10.12,,107,10.69,,938,9.92,,,
Butler,87,15.10,,70,13.57,,69,13.80,,68,12.48,,86,15.84,,73,13.30,,64,13.50,,67,13.65,,50,9.84,,634,13.48,,,
Caldwell,6,6.32,*,9,10.59,*,8,7.41,*,14,13.86,*,8,8.42,*,18,18.00,*,9,8.41,*,6,6.74,*,7,7.53,*,85,9.74,,,
Callaway,46,9.91,,41,8.80,,50,9.98,,43,8.58,,53,11.50,,46,10.27,,52,10.95,,69,15.03,,58,12.89,,458,10.84,,,
