Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Smoked During Pregnancy:  Yes;,
Year:,2016,2016,,2017,2017,,2018,2018,,2019,2019,,2020,2020,,2021,2021,,2022,2022,,2023,2023,,2024,2024,,Total for selection,Total for selection,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adair,36,13.33,,42,16.03,,47,16.43,,45,15.05,,36,12.72,,32,12.40,,30,10.75,,33,11.66,,25,9.84,,326,13.18,,
Andrew,26,14.21,,21,10.71,,32,17.11,,28,12.96,,34,18.68,,11,6.18,*,18,11.54,*,17,11.11,*,6,3.90,*,193,12.02,,
Atchison,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,69,15.86,,
Audrain,106,29.86,,92,28.66,,77,23.77,,63,21.80,,42,15.38,,39,12.91,,34,12.83,,42,13.95,,21,7.45,,516,19.03,,
Barry,100,23.92,,87,20.71,,78,18.35,,67,17.49,,69,17.29,,46,11.73,,45,11.00,,35,8.66,,38,9.25,,565,15.43,,
Barton,21,16.41,,27,21.43,,16,11.59,*,18,15.38,*,32,21.33,,16,13.01,*,10,7.09,*,21,13.46,,8,5.52,*,169,13.81,,
Bates,44,25.88,,39,19.60,,34,19.77,,30,15.87,,31,16.40,,32,18.39,,21,12.14,,31,14.90,,21,10.40,,283,16.89,,
Benton,29,18.47,,48,28.24,,36,19.89,,37,23.87,,39,24.22,,28,19.31,,26,15.29,,24,14.91,,16,8.70,*,283,19.07,,
Bollinger,34,30.09,,25,20.33,,37,24.83,,22,16.30,,33,23.40,,29,22.83,,18,13.43,*,19,13.67,*,9,6.82,*,226,18.94,,
Boone,225,10.89,,238,11.70,,185,9.19,,189,9.27,,175,8.97,,163,8.62,,100,5.05,,111,6.10,,86,4.55,,1472,8.32,,
Buchanan,279,24.32,,269,24.59,,253,22.96,,220,21.57,,230,21.66,,196,20.44,,137,13.99,,127,12.83,,99,9.99,,1810,19.37,,
Butler,146,25.44,,108,21.05,,140,28.06,,142,26.10,,136,25.19,,92,17.29,,69,14.87,,73,14.96,,51,11.16,,957,20.75,,
Caldwell,20,21.05,,16,18.82,*,18,16.67,*,23,22.77,,17,17.89,*,16,16.33,*,13,12.26,*,9,10.34,*,5,5.38,*,137,15.78,,
Callaway,103,22.39,,100,21.74,,89,17.87,,101,20.36,,83,18.08,,63,14.32,,52,11.13,,48,10.53,,35,7.81,,674,16.11,,
