Model,Fold,RMSE,MAE,R2
Linear Regression,1,2.197611117021111,1.6067741226469705,0.1421715682506547
Linear Regression,2,2.453686350175406,1.6930954130212867,0.013417446917618814
Linear Regression,3,2.2405503747963316,1.797405733553753,0.10846476676125294
Linear Regression,4,2.532247838954152,1.9604969274881423,0.06080417393420523
Linear Regression,5,2.2511108193300746,1.8657570205004088,0.09752117509790292
Random Forest,1,2.2593681785109974,1.6857577168374966,0.09328089818002983
Random Forest,2,2.375557661710028,1.7478771034183873,0.07524542169258841
Random Forest,3,2.2850602757654417,1.7853480011566911,0.07269114577096003
Random Forest,4,2.628608138587229,2.0380839184482755,-0.012034766022041676
Random Forest,5,2.403989261547814,1.9849373218093032,-0.029220236927974153
Gradient Boosting,1,2.3216379236162257,1.7451175485981432,0.042612554479992126
Gradient Boosting,2,2.477077362883966,1.7852559794611922,-0.005482411607641291
Gradient Boosting,3,2.3849074457626966,1.8790084160658131,-0.010118080046092714
Gradient Boosting,4,2.6090335702861536,2.024611012642159,0.0029818375105694628
Gradient Boosting,5,2.438567251496615,2.017081091630863,-0.05904092853984477
SVR,1,2.404979046286376,1.864763658946198,-0.02735690289690429
SVR,2,2.4804769119613583,1.82243651163259,-0.00824416012736462
SVR,3,2.6926402530272133,2.221082061992601,-0.28761418796298743
SVR,4,2.8440014474978033,2.2834816131861584,-0.18468628768395834
SVR,5,2.3652940263384403,1.9854822052518384,0.0036462950615913092
ANN,1,2.4998515022978594,1.9809447289159625,-0.11001071738606183
ANN,2,2.8711903464168387,2.1976064430823885,-0.3508878867256744
ANN,3,2.575382323507502,2.006899819895079,-0.17791107926304206
ANN,4,2.6988433963920033,2.047564136079883,-0.06683954415063398
ANN,5,2.529229292845496,2.0523839341645096,-0.13925167621885892
XGBoost,1,2.3968330819789636,1.8027940982127049,-0.02040911716199001
XGBoost,2,2.4527938974544568,1.7976545951798644,0.014134994342103746
XGBoost,3,2.3381480639162375,1.8314491470515377,0.029103121725606473
XGBoost,4,2.6648936945658286,2.061438215601514,-0.04016806005097595
XGBoost,5,2.519037643756114,2.070882479349772,-0.13008883748380118
