Model,Fold,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Logistic Regression,1,0.6666666666666666,0.2857142857142857,0.6,0.3870967741935484,0.7484633569739954,0.4595938740297585
Logistic Regression,2,0.5672514619883041,0.39805825242718446,0.7735849056603774,0.5256410256410257,0.6829229293252319,0.5005738240438317
Logistic Regression,3,0.6666666666666666,0.3333333333333333,0.5833333333333334,0.42424242424242425,0.708641975308642,0.3976258262865878
Logistic Regression,4,0.5964912280701754,0.2923076923076923,0.4523809523809524,0.35514018691588783,0.5444813584348469,0.3274958816689242
Logistic Regression,5,0.7017543859649122,0.55,0.4,0.4631578947368421,0.6793103448275862,0.5482185430986416
Random Forest,1,0.8187134502923976,0.4827586206896552,0.4666666666666667,0.4745762711864407,0.7496453900709219,0.4658736917626941
Random Forest,2,0.7017543859649122,0.5208333333333334,0.4716981132075472,0.49504950495049505,0.7037096258394627,0.4878958506495855
Random Forest,3,0.7894736842105263,0.5,0.25,0.3333333333333333,0.6109053497942386,0.34825077639759494
Random Forest,4,0.6900584795321637,0.17647058823529413,0.07142857142857142,0.1016949152542373,0.5356220007382798,0.25584176043773
Random Forest,5,0.6608187134502924,0.43478260869565216,0.18181818181818182,0.2564102564102564,0.5973354231974921,0.40684111536316525
Gradient Boosting,1,0.8011695906432749,0.4090909090909091,0.3,0.34615384615384615,0.7398345153664303,0.42713152799393983
Gradient Boosting,2,0.6432748538011696,0.36666666666666664,0.20754716981132076,0.26506024096385544,0.6671730092740646,0.4190387491168336
Gradient Boosting,3,0.8011695906432749,0.6,0.16666666666666666,0.2608695652173913,0.6216049382716049,0.3708719635035343
Gradient Boosting,4,0.7426900584795322,0.25,0.023809523809523808,0.043478260869565216,0.540420819490587,0.30068257589001324
Gradient Boosting,5,0.6432748538011696,0.2857142857142857,0.07272727272727272,0.11594202898550725,0.5862852664576802,0.37781477843442934
SVM,1,0.6374269005847953,0.24193548387096775,0.5,0.32608695652173914,0.6796690307328606,0.28856323390857924
SVM,2,0.6257309941520468,0.43373493975903615,0.6792452830188679,0.5294117647058824,0.6929964822513591,0.47297688664998977
SVM,3,0.6198830409356725,0.2835820895522388,0.5277777777777778,0.36893203883495146,0.6691358024691358,0.33745403546849806
SVM,4,0.5730994152046783,0.2876712328767123,0.5,0.3652173913043478,0.49446290143964566,0.2659535458242769
SVM,5,0.5555555555555556,0.3090909090909091,0.3090909090909091,0.3090909090909091,0.5324451410658307,0.36042288759701346
ANN,1,0.8245614035087719,0.0,0.0,0.0,0.47494089834515363,0.25398104399597343
ANN,2,0.695906432748538,1.0,0.018867924528301886,0.037037037037037035,0.6971538215542054,0.5278265448715476
ANN,3,0.7894736842105263,0.0,0.0,0.0,0.39423868312757204,0.17055316253804745
ANN,4,0.7426900584795322,0.0,0.0,0.0,0.4809892949427833,0.24646816929663917
ANN,5,0.6783625730994152,0.0,0.0,0.0,0.46191222570532914,0.32894845354727253
XGBoost,1,0.8362573099415205,0.55,0.36666666666666664,0.44,0.7489361702127659,0.45245378056651037
XGBoost,2,0.6608187134502924,0.4074074074074074,0.20754716981132076,0.275,0.6577390470099136,0.3995825911808907
XGBoost,3,0.7894736842105263,0.5,0.1111111111111111,0.18181818181818182,0.5653292181069959,0.33121551139595073
XGBoost,4,0.7134502923976608,0.1111111111111111,0.023809523809523808,0.0392156862745098,0.5605389442598745,0.27982343043855457
XGBoost,5,0.6608187134502924,0.2,0.01818181818181818,0.03333333333333333,0.5311912225705329,0.3257173827015034
