Variable,Coefficient,Odds_Ratio
physical_inactivity_rate,0.6765193334267374,1.9670192649313174
medicaid_rate,0.4086485015990476,1.5047826988034585
adult_obesity_rate,0.2490075801337808,1.2827517564628805
low_education_rate,0.08377821860274594,1.0873877046996807
median_income,-0.028158470939163852,0.9722342837126963
smoking_rate,-0.04097521451882318,0.9598529200694558
early_prenatal_rate,-0.048164175780731074,0.952977318438402
bachelors_plus_rate,-0.15728951011292477,0.8544566491646259
poverty_rate,-0.17238089489694836,0.8416585286679068
uninsured_rate,-0.6464186121672871,0.5239187771224019
