county,year,live_births,preterm_rate,lbw_rate,smoking_rate,early_prenatal_rate,medicaid_rate,low_education_rate
Adair,2016,272,12.87,8.09,13.33,78.07,31.73,17.04
Adair,2017,266,9.77,9.77,16.03,75.95,27.82,12.88
Adair,2018,287,8.36,7.67,16.43,74.91,32.4,14.34
Adair,2019,301,13.62,10.63,15.05,77.26,30.56,11.71
Adair,2020,284,11.27,7.04,12.72,74.55,34.15,18.31
Adair,2021,266,10.15,9.02,12.4,75.57,38.35,12.83
Adair,2022,282,8.87,6.74,10.75,73.84,50.0,12.41
Adair,2023,283,9.19,8.16,11.66,67.74,41.7,13.07
Adair,2024,254,11.07,9.06,9.84,74.4,52.36,12.65
Andrew,2016,183,12.02,9.29,14.21,84.7,25.27,
Andrew,2017,197,4.57,2.54,10.71,90.16,28.43,
Andrew,2018,188,7.45,7.98,17.11,84.78,27.96,
Andrew,2019,217,8.29,5.56,12.96,84.65,27.65,
Andrew,2020,182,14.29,10.44,18.68,79.78,30.22,
Andrew,2021,179,8.38,6.7,6.18,83.52,28.65,
Andrew,2022,159,11.32,8.18,11.54,84.62,28.48,
Andrew,2023,155,7.1,6.45,11.11,81.7,28.39,
Andrew,2024,156,7.05,4.49,3.9,64.71,33.33,
Atchison,2016,53,,,,82.35,,
Atchison,2017,51,,,,76.0,,
Atchison,2018,41,,,,80.49,,
Atchison,2019,46,,,,78.26,,
Atchison,2020,52,,,,86.54,,
Atchison,2021,38,,,,84.21,,
Atchison,2022,52,,,,90.38,,
Atchison,2023,60,,,,81.67,,
Atchison,2024,44,,,,70.45,,
Audrain,2016,358,9.55,8.66,29.86,66.86,40.68,25.21
Audrain,2017,326,14.42,13.5,28.66,67.86,38.39,25.54
Audrain,2018,325,8.64,8.98,23.77,62.03,42.99,29.72
Audrain,2019,292,10.62,8.56,21.8,71.38,39.73,23.29
Audrain,2020,276,13.45,9.78,15.38,68.52,43.22,25.72
Audrain,2021,306,11.76,11.76,12.91,70.23,40.52,30.07
Audrain,2022,268,6.37,5.6,12.83,63.18,42.54,32.21
Audrain,2023,305,13.77,10.16,13.95,67.89,46.05,25.0
Audrain,2024,284,12.68,9.86,7.45,66.91,44.72,27.92
Barry,2016,419,9.57,7.88,23.92,68.58,57.42,21.0
Barry,2017,421,13.54,9.26,20.71,67.55,55.53,21.9
Barry,2018,425,8.24,5.18,18.35,68.26,54.35,19.06
Barry,2019,383,8.09,6.27,17.49,69.23,52.49,19.95
Barry,2020,400,10.75,9.75,17.29,72.34,52.93,21.3
Barry,2021,396,12.69,8.33,11.73,76.42,54.06,18.94
Barry,2022,413,9.93,9.2,11.0,73.17,49.64,18.69
Barry,2023,409,11.52,10.02,8.66,73.15,51.11,17.94
Barry,2024,418,12.74,7.89,9.25,67.55,52.16,19.42
Barton,2016,128,11.72,10.16,16.41,71.31,45.16,18.75
Barton,2017,128,15.63,7.81,21.43,73.98,44.09,18.11
Barton,2018,138,10.87,7.97,11.59,75.0,44.53,18.84
Barton,2019,119,8.4,8.4,15.38,76.27,40.68,23.08
Barton,2020,150,9.33,8.05,21.33,66.21,47.33,20.67
Barton,2021,124,12.9,6.45,13.01,71.9,40.5,18.55
Barton,2022,141,10.64,7.8,7.09,77.04,39.72,20.57
Barton,2023,162,11.73,11.73,13.46,71.43,45.06,24.69
Barton,2024,148,7.43,4.05,5.52,64.86,40.82,16.89
Bates,2016,170,10.0,6.51,25.88,64.07,46.43,13.53
Bates,2017,199,9.55,4.52,19.6,73.1,49.22,16.58
Bates,2018,172,7.56,6.4,19.77,75.6,43.11,13.95
Bates,2019,190,10.0,7.37,15.87,74.86,38.83,13.68
Bates,2020,191,7.89,6.28,16.4,78.72,35.33,12.04
Bates,2021,177,14.69,6.78,18.39,78.82,44.12,14.69
Bates,2022,176,9.71,6.82,12.14,73.41,42.17,8.62
Bates,2023,210,14.29,8.57,14.9,73.08,44.44,13.81
Bates,2024,202,12.38,10.4,10.4,68.16,42.71,12.38
Benton,2016,158,6.96,,18.47,70.51,47.1,15.92
Benton,2017,171,12.94,,28.24,73.33,57.99,20.0
Benton,2018,183,10.99,,19.89,71.27,51.4,20.77
Benton,2019,158,7.59,,23.87,64.52,50.32,18.35
Benton,2020,161,4.97,,24.22,62.03,48.41,21.74
Benton,2021,147,10.2,,19.31,67.36,43.07,22.76
Benton,2022,171,9.94,,15.29,69.09,50.31,17.54
Benton,2023,162,6.79,,14.91,65.63,50.94,17.28
Benton,2024,185,10.81,,8.7,71.11,54.7,21.62
Bollinger,2016,114,7.02,4.39,30.09,67.57,55.26,14.91
Bollinger,2017,125,8.0,7.2,20.33,76.61,45.16,13.6
Bollinger,2018,149,9.4,7.38,24.83,76.87,52.05,11.41
Bollinger,2019,135,8.15,5.93,16.3,69.4,48.51,8.21
Bollinger,2020,142,14.79,10.56,23.4,73.94,48.57,16.9
Bollinger,2021,127,14.96,8.66,22.83,69.84,49.21,16.54
Bollinger,2022,134,9.7,11.19,13.43,84.21,45.52,7.46
Bollinger,2023,140,13.67,10.0,13.67,80.29,45.0,14.29
Bollinger,2024,132,11.36,6.06,6.82,82.44,44.7,15.91
Boone,2016,2092,8.65,7.51,10.89,82.2,24.77,7.33
Boone,2017,2073,10.85,9.46,11.7,81.62,26.38,7.26
Boone,2018,2051,10.54,8.93,9.19,82.9,30.01,8.44
Boone,2019,2075,10.95,9.25,9.27,80.01,30.77,7.49
Boone,2020,1979,9.45,6.97,8.97,80.92,31.43,6.85
Boone,2021,1922,10.31,8.64,8.62,81.32,34.1,7.46
Boone,2022,2008,10.01,9.51,5.05,80.76,31.47,6.89
Boone,2023,1823,11.92,9.6,6.1,78.82,36.48,9.09
Boone,2024,1897,10.86,8.12,4.55,79.13,32.23,7.88
Buchanan,2016,1154,8.75,9.1,24.32,74.09,51.61,18.49
Buchanan,2017,1102,10.89,9.17,24.59,73.44,51.14,19.64
Buchanan,2018,1118,8.32,8.41,22.96,75.55,50.22,15.71
Buchanan,2019,1042,12.28,9.13,21.57,75.49,53.8,17.79
Buchanan,2020,1074,9.12,8.94,21.66,72.16,51.45,17.94
Buchanan,2021,983,7.74,10.51,20.44,76.75,54.09,16.73
Buchanan,2022,989,11.54,10.73,13.99,76.76,54.47,17.9
Buchanan,2023,1000,10.12,9.6,12.83,69.28,56.76,18.47
Buchanan,2024,1001,10.69,9.19,9.99,56.35,49.9,20.44
Butler,2016,576,15.1,10.42,25.44,71.0,61.04,18.64
Butler,2017,516,13.57,9.88,21.05,70.65,65.63,15.34
Butler,2018,500,13.8,12.2,28.06,64.24,66.73,17.64
Butler,2019,546,12.48,9.16,26.1,77.61,58.24,17.96
Butler,2020,544,15.84,12.87,25.19,70.3,69.43,19.15
Butler,2021,549,13.3,8.93,17.29,80.18,73.31,18.05
Butler,2022,475,13.5,9.05,14.87,79.27,79.16,17.55
Butler,2023,492,13.65,11.59,14.96,75.0,75.61,17.86
Butler,2024,508,9.84,6.89,11.16,76.39,67.33,16.97
Caldwell,2016,95,6.32,9.47,21.05,78.02,40.43,13.68
Caldwell,2017,85,10.59,8.24,18.82,66.25,42.86,15.29
