county,population,median_income,unemployment_rate,poverty_rate
Adair County,25224.0,56583.0,4.9,21.2
Andrew County,18086.0,74007.0,4.0,7.4
Atchison County,5216.0,59260.0,2.3,12.5
Audrain County,24688.0,56232.0,4.1,18.0
Barry County,34831.0,56611.0,4.1,16.7
Barton County,11685.0,49503.0,4.1,22.2
Bates County,16121.0,57914.0,6.1,18.7
Benton County,19887.0,52200.0,3.9,16.7
Bollinger County,10591.0,57286.0,4.9,12.2
Boone County,185874.0,69913.0,3.7,17.1
Buchanan County,83855.0,59423.0,4.5,16.9
Butler County,42166.0,49213.0,4.9,20.3
Caldwell County,8890.0,62520.0,4.5,13.0
Callaway County,44541.0,72645.0,5.5,11.5
Camden County,43416.0,62927.0,4.8,13.2
Cape Girardeau County,82180.0,68912.0,2.9,14.1
Carroll County,8459.0,61712.0,5.2,10.8
Carter County,5269.0,45083.0,2.9,19.2
Cass County,109393.0,87413.0,4.6,6.5
Cedar County,14440.0,45577.0,2.5,17.0
Chariton County,7406.0,63307.0,3.2,11.9
Christian County,91229.0,81245.0,3.6,8.7
Clark County,6680.0,51458.0,5.8,9.4
Clay County,255566.0,86150.0,3.9,8.5
Clinton County,21259.0,70625.0,4.4,12.8
Cole County,76924.0,73273.0,3.0,9.3
Cooper County,16835.0,67548.0,4.5,10.8
Crawford County,22890.0,56345.0,5.4,13.6
Dade County,7627.0,49899.0,4.3,14.1
Dallas County,17344.0,53177.0,4.0,21.4
Daviess County,8449.0,60665.0,1.8,13.2
DeKalb County,11176.0,69093.0,2.3,8.7
Dent County,14506.0,54306.0,4.2,14.3
Douglas County,11850.0,49828.0,5.3,16.9
Dunklin County,27795.0,47368.0,4.7,21.4
Franklin County,105316.0,71973.0,4.4,8.2
Gasconade County,14774.0,65096.0,2.9,11.3
Gentry County,6224.0,57458.0,2.7,15.6
Greene County,301121.0,57488.0,3.5,14.4
Grundy County,9822.0,53839.0,2.8,16.8
Harrison County,8198.0,53364.0,3.3,16.1
Henry County,22194.0,56621.0,5.5,16.3
Hickory County,8501.0,35084.0,12.1,19.5
Holt County,4254.0,58516.0,2.1,9.8
Howard County,10141.0,62628.0,4.1,12.8
Howell County,40168.0,49814.0,5.0,21.4
Iron County,9482.0,51161.0,3.3,20.7
Jackson County,717021.0,67178.0,4.8,13.8
Jasper County,123532.0,57525.0,4.1,18.4
Jefferson County,228227.0,80522.0,3.6,8.6
Johnson County,54331.0,67123.0,4.9,11.9
Knox County,3760.0,53333.0,4.1,14.7
Laclede County,36245.0,50825.0,5.5,18.6
Lafayette County,32974.0,79091.0,2.2,9.7
Lawrence County,38392.0,55849.0,5.0,16.5
Lewis County,9945.0,52340.0,6.0,15.3
Lincoln County,61636.0,85276.0,3.2,10.7
Linn County,11850.0,61975.0,2.6,16.2
Livingston County,14330.0,60148.0,2.8,12.2
McDonald County,23492.0,48145.0,7.2,17.2
Macon County,15163.0,58318.0,3.5,10.0
Madison County,12665.0,58435.0,6.9,14.0
Maries County,8435.0,61359.0,4.5,14.9
Marion County,28493.0,63908.0,3.5,13.6
Mercer County,3501.0,60357.0,2.3,14.7
Miller County,25081.0,55172.0,5.2,14.6
Mississippi County,12079.0,46258.0,3.8,23.0
Moniteau County,15303.0,65161.0,2.5,10.4
Monroe County,8672.0,48299.0,1.6,16.0
Montgomery County,11422.0,61042.0,2.8,14.5
Morgan County,21430.0,49663.0,3.5,17.0
New Madrid County,16041.0,49237.0,3.4,18.6
Newton County,59490.0,64583.0,4.8,13.4
Nodaway County,20959.0,55970.0,2.9,18.6
Oregon County,8704.0,44259.0,4.1,21.9
Osage County,13379.0,75355.0,1.8,10.1
Ozark County,8773.0,42329.0,5.7,21.7
Pemiscot County,15232.0,40748.0,9.7,27.4
Perry County,18947.0,63356.0,4.8,11.0
Pettis County,43205.0,60232.0,4.0,13.4
Phelps County,44948.0,55427.0,4.4,17.2
Pike County,17623.0,57572.0,4.8,16.3
Platte County,108751.0,95748.0,3.5,6.8
Polk County,32109.0,56686.0,3.5,17.9
Pulaski County,53850.0,66435.0,5.0,12.8
Putnam County,4675.0,56875.0,3.8,16.2
Ralls County,10394.0,62054.0,3.9,12.6
Randolph County,24524.0,55310.0,4.4,15.8
Ray County,23149.0,72152.0,2.1,12.0
Reynolds County,6058.0,44357.0,10.6,17.9
Ripley County,10755.0,43898.0,4.6,19.7
St. Charles County,409830.0,102912.0,2.8,4.7
St. Clair County,9451.0,46731.0,2.5,16.3
Ste. Genevieve County,18551.0,61310.0,4.6,7.9
St. Francois County,66864.0,54813.0,4.9,17.0
St. Louis County,996618.0,81340.0,4.2,9.6
Saline County,23177.0,56566.0,2.5,14.7
Schuyler County,4044.0,56023.0,4.7,9.7
Scotland County,4698.0,67568.0,0.8,7.1
Scott County,37967.0,58847.0,3.2,14.5
Shannon County,7137.0,59000.0,3.0,16.7
Shelby County,6011.0,52127.0,1.0,15.6
Stoddard County,28547.0,54067.0,3.7,17.0
Stone County,31697.0,61323.0,7.2,14.0
Sullivan County,5903.0,55500.0,2.4,14.7
Taney County,56382.0,58258.0,4.5,14.4
Texas County,24956.0,48055.0,4.6,19.3
Vernon County,19713.0,54519.0,3.9,19.0
Warren County,36467.0,77989.0,3.8,9.3
Washington County,23483.0,51886.0,3.8,18.2
Wayne County,10942.0,43393.0,7.7,25.1
Webster County,39868.0,69731.0,4.2,16.1
Worth County,1956.0,46167.0,1.2,17.6
Wright County,18722.0,47304.0,4.1,17.6
St. Louis city,293109.0,55279.0,5.0,19.8
