county,adult_smoking_rate,adult_obesity_rate,physical_inactivity_rate,food_environment_index,uninsured_rate_chr,pcp_ratio,children_poverty_rate,unemployment_rate_chr,low_birthweight_rate_chr
Adair County,22,40,27,6.9,17,619:1,20,4.3,8
Andrew County,19,38,24,8.4,12,8793:1,11,3.0,7
Atchison County,21,36,25,8.2,15,2548:1,18,3.2,3
Audrain County,24,40,30,7.1,16,2258:1,23,3.7,9
Barry County,24,38,29,7.0,17,1628:1,29,4.6,8
Barton County,25,40,29,4.7,16,3864:1,21,3.4,8
Bates County,24,41,29,7.2,16,4061:1,19,4.3,7
Benton County,24,40,28,6.9,16,3271:1,27,5.7,7
Bollinger County,26,39,30,6.8,17,12111:1,23,4.2,7
Boone County,16,33,22,7.5,11,863:1,14,3.0,8
Buchanan County,23,37,26,6.9,14,1602:1,23,3.8,9
Butler County,27,39,32,6.3,15,1029:1,29,4.7,11
Caldwell County,24,41,28,7.3,16,9051:1,18,5.1,9
Callaway County,21,34,25,7.9,13,2640:1,14,3.4,8
Camden County,21,40,25,7.4,15,1497:1,21,5.0,7
Cape Girardeau County,20,40,25,7.4,12,1104:1,14,3.6,9
Carroll County,23,37,29,7.4,15,2851:1,19,4.4,8
Carter County,25,40,29,4.8,18,5991:1,32,5.2,7
Cass County,19,35,24,7.9,12,4450:1,10,3.9,7
Cedar County,26,37,30,6.6,16,2864:1,27,3.7,6
Chariton County,22,38,26,8.1,14,7360:1,15,3.3,8
Christian County,18,37,22,7.9,13,2266:1,10,3.2,6
Clark County,26,41,29,7.8,17,2277:1,21,4.6,8
Clay County,19,34,22,8.2,10,1584:1,10,4.9,7
Clinton County,21,37,25,8.3,13,1581:1,13,5.3,8
Cole County,17,34,22,7.9,10,1494:1,15,3.1,8
Cooper County,21,37,26,7.3,12,2138:1,17,3.6,7
Crawford County,26,41,29,7.2,16,23739:1,23,4.5,8
Dade County,26,40,30,7.6,16,1514:1,23,3.3,9
Dallas County,27,40,31,6.2,17,17219:1,25,4.3,9
Daviess County,24,40,28,8.0,19,8283:1,21,3.8,6
DeKalb County,22,40,26,8.1,12,3648:1,14,3.8,7
Dent County,26,37,29,6.9,17,3870:1,25,4.3,9
Douglas County,26,38,28,5.8,15,6672:1,29,4.3,6
Dunklin County,28,40,34,6.6,18,3610:1,32,6.1,13
Franklin County,21,31,24,8.2,12,1583:1,12,4.0,8
Gasconade County,21,34,25,8.1,14,2428:1,16,3.6,8
Gentry County,23,39,27,7.3,15,3242:1,20,2.7,7
Greene County,20,36,24,7.3,14,1028:1,15,3.4,8
Grundy County,24,38,28,6.6,17,4798:1,24,3.6,8
Harrison County,24,39,29,6.1,14,2774:1,24,3.5,7
Henry County,24,42,28,6.1,15,1577:1,20,4.0,8
Hickory County,26,40,29,7.8,17,9586:1,30,4.0,10
Holt County,22,38,26,7.3,15,4232:1,20,2.9,6
Howard County,20,38,25,8.1,12,2500:1,16,3.2,8
Howell County,25,40,28,6.1,15,1220:1,25,4.8,8
Iron County,26,41,31,5.8,16,10098:1,28,5.8,10
Jackson County,19,36,27,7.5,13,1175:1,17,5.5,9
Jasper County,22,37,28,7.0,16,1652:1,19,3.7,7
Jefferson County,21,41,25,7.8,11,3974:1,11,4.1,8
Johnson County,20,37,25,7.3,13,2854:1,13,4.4,7
Knox County,25,38,30,7.4,15,,29,3.1,6
Laclede County,25,42,27,6.0,14,1889:1,22,4.3,8
Lafayette County,22,40,29,7.7,13,4126:1,15,4.3,8
Lawrence County,24,35,29,7.3,18,1909:1,20,4.0,8
Lewis County,25,40,29,6.7,13,4905:1,19,3.5,10
Lincoln County,22,36,27,8.2,12,12024:1,12,4.6,8
Linn County,23,38,25,7.3,14,3943:1,22,5.4,7
Livingston County,23,39,27,8.1,15,1201:1,18,3.0,7
McDonald County,27,39,33,7.9,23,7633:1,26,3.9,8
Macon County,21,37,26,7.0,14,3019:1,21,3.7,8
Madison County,23,40,28,6.7,15,4038:1,21,4.4,8
Maries County,24,39,29,7.7,16,,17,3.8,7
Marion County,22,40,26,7.3,13,1053:1,18,3.5,9
Mercer County,23,38,27,4.7,17,3558:1,19,2.9,6
Miller County,23,37,26,7.9,17,2866:1,20,4.1,8
Mississippi County,29,44,36,7.1,15,6346:1,29,4.7,12
Moniteau County,22,36,26,8.3,19,7793:1,15,3.4,6
Monroe County,24,38,29,7.5,15,2891:1,21,4.4,7
Montgomery County,24,38,28,7.5,15,5647:1,19,3.7,7
Morgan County,27,37,30,7.5,22,3453:1,25,4.7,7
New Madrid County,27,44,33,7.3,15,16693:1,30,4.8,10
Newton County,22,35,26,7.7,16,1652:1,22,3.8,7
Nodaway County,21,39,25,5.2,13,2416:1,12,2.9,7
Oregon County,28,40,31,5.9,16,,32,5.3,9
Osage County,21,36,24,8.8,12,4512:1,10,2.6,7
Ozark County,29,40,32,5.2,16,9083:1,34,5.5,9
Pemiscot County,30,43,36,5.8,14,3120:1,36,7.3,11
Perry County,22,38,26,8.1,12,2742:1,13,3.2,6
Pettis County,22,39,27,7.3,16,1847:1,21,4.7,7
Phelps County,21,35,25,6.9,16,1234:1,22,3.7,8
Pike County,24,43,29,7.1,15,4388:1,22,3.9,8
Platte County,15,32,20,8.4,8,1284:1,8,4.0,7
Polk County,23,37,27,8.0,15,1477:1,20,3.5,7
Pulaski County,20,37,25,5.8,13,3101:1,14,4.4,7
Putnam County,21,36,26,7.4,15,1563:1,21,3.1,9
Ralls County,23,38,27,8.4,13,10299:1,13,3.4,9
Randolph County,23,38,28,7.4,14,3051:1,20,4.2,9
Ray County,23,39,27,8.2,13,3819:1,14,6.5,7
Reynolds County,26,38,29,5.7,16,2066:1,32,4.1,9
Ripley County,29,42,32,6.5,16,6650:1,33,5.5,10
St. Charles County,15,30,20,8.8,7,2257:1,6,3.5,7
St. Clair County,25,37,29,7.4,16,2422:1,29,4.5,6
Ste. Genevieve County,21,37,25,7.4,12,2987:1,14,3.4,9
St. Francois County,24,37,29,6.9,14,1546:1,23,4.8,9
St. Louis County,15,28,22,8.3,8,788:1,13,4.5,10
Saline County,22,39,28,6.8,15,2078:1,18,3.5,9
Schuyler County,24,37,27,4.2,16,1511:1,22,4.3,8
Scotland County,25,38,29,8.3,23,609:1,21,2.6,6
Scott County,24,43,34,7.0,13,1914:1,23,3.9,10
Shannon County,27,39,33,6.3,19,,33,5.6,9
Shelby County,24,38,29,6.7,15,5919:1,21,3.3,8
Stoddard County,28,40,33,7.2,17,2072:1,22,4.5,9
Stone County,22,38,27,7.4,17,2951:1,24,6.6,9
Sullivan County,23,41,31,7.5,16,3017:1,20,4.9,9
Taney County,22,37,27,5.4,18,1336:1,22,7.5,9
Texas County,27,41,31,6.8,16,2283:1,32,4.6,8
Vernon County,24,37,29,6.5,15,4078:1,27,3.4,7
